,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6.12 - POPULAÇÃO RESIDENTE, SEGUNDO OS PAÍSES DE PROVENIÊNCIA( RELATIVAMENTE A 31/12/2005), POR MUNICIPIO DE RESIDÊNCIA HABITUAL EM 21/03/2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,População Residente em 2011,,Imigrante no município,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Proveniente de outros municípios,,Proveniente do estrangeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Municipios de residência habitual em 21/03/2011,,,,,Total,,França,,Países Baixos,,Alemanha,,Itália,,Reino Unido,,Irlanda,,Espanha,,Bélgica,,Luxemburgo,,Suiça,,Andorra,,Roménia,,Bulgária,,Ucrânia,,"Moldova, República de",,PALOP,,África do Sul,,Estados Unidos,,Canadá,,"Venezuela, República Bolivariana da",,Brasil,,Índia,,China,,Outros,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
            Torre de Moncorvo,8572,4106,308,145,338,194,175,100,5,3,12,5,0,0,1,0,1,1,22,15,0,0,3,1,65,42,24,16,0,0,8,4,2,1,0,0,1,0,0,0,3,1,1,0,0,0,10,2,0,0,3,1,2,2
            Vila Flor,6697,3212,254,108,173,91,52,26,0,0,2,1,0,0,1,1,0,0,7,5,0,0,0,0,20,10,7,5,51,29,8,4,2,1,0,0,1,1,0,0,0,0,1,0,0,0,18,6,0,0,0,0,3,2
            Vila Nova de Foz Côa,7312,3458,284,138,306,165,172,86,0,0,6,3,1,1,1,1,1,1,22,9,0,0,4,2,45,28,0,0,24,17,4,3,6,3,1,1,4,1,0,0,0,0,1,1,0,0,12,7,1,0,0,0,1,1
            Alijó,11942,5772,390,184,222,123,69,40,0,0,10,8,5,3,0,0,1,0,43,24,1,0,17,9,43,22,0,0,4,2,7,5,0,0,0,0,5,3,0,0,6,3,3,1,1,1,4,2,0,0,1,0,2,0
            Mesão Frio,4433,2121,203,99,30,16,23,13,0,0,0,0,0,0,1,1,0,0,2,0,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Peso da Régua,17131,8111,700,308,187,93,65,36,0,0,10,6,2,1,5,3,4,2,5,3,18,10,0,0,30,17,0,0,3,2,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,22,7,0,0,0,0,6,4
            Sabrosa,6361,3069,303,147,155,82,79,42,0,0,1,1,0,0,0,0,0,0,6,4,4,2,11,5,26,13,18,11,0,0,0,0,0,0,0,0,3,1,0,0,3,2,0,0,0,0,1,0,0,0,1,1,2,0
            Santa Marta de Penaguião,7356,3463,290,134,148,91,46,28,0,0,6,4,0,0,0,0,1,1,1,0,26,16,4,2,5,4,0,0,53,31,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,1
            Vila Real,51850,24670,2549,1244,854,458,208,108,3,2,48,26,3,3,30,19,3,2,51,35,25,9,43,21,230,134,8,4,10,7,2,2,9,6,3,1,15,6,0,0,9,5,3,2,1,0,107,42,3,2,10,5,30,17
            Armamar,6297,2981,273,127,99,57,18,14,0,0,17,8,1,0,0,0,0,0,3,2,0,0,2,2,47,26,0,0,0,0,5,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,3,2,0,0
            Lamego,26691,12713,1114,521,321,179,37,24,3,1,22,10,5,3,6,2,0,0,19,10,1,1,5,4,173,98,4,2,5,5,0,0,3,2,0,0,4,2,0,0,1,1,0,0,0,0,24,9,0,0,1,0,8,5
            Moimenta da Beira,10212,4888,457,213,362,206,103,57,28,16,15,8,3,1,11,8,2,0,4,3,0,0,3,2,96,55,5,2,0,0,6,4,5,4,0,0,51,31,0,0,2,1,0,0,0,0,21,12,0,0,4,1,3,1
            Penedono,2952,1415,115,54,89,43,55,26,0,0,0,0,4,3,1,1,0,0,1,1,0,0,0,0,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,1,1,2,1
            São João da Pesqueira,7874,3883,209,108,177,92,84,43,4,2,8,6,0,0,0,0,0,0,3,1,0,0,0,0,25,13,1,0,17,10,0,0,0,0,0,0,19,10,0,0,2,1,0,0,0,0,5,2,0,0,3,0,6,4
            Sernancelhe,5671,2747,242,107,182,95,77,41,0,0,10,4,0,0,1,1,0,0,0,0,0,0,1,1,84,41,4,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0
