"4.14 - FAMÍLIAS CLÁSSICAS, SEGUNDO A SUA DIMENSÃO E PESSOAS NAS FAMÍLIAS PELO NÚMERO DE PESSOAS COM ACTIVIDADE ECONÓMICA E PESSOAS A CARGO ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Famílias clássicas segundo a dimensão (pessoas),,,,,,,,,,Pessoas nas famílias,,,
Número de pessoas com actividade económica e número de pessoas a cargo,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9 ou mais,,,,
          2 pessoas a cargo,3730,0,46,2186,1210,231,51,5,1,0,12994,,,
          3 pessoas a cargo,1883,0,0,33,1342,392,87,22,7,0,8159,,,
          4 ou mais pessoas a cargo,822,0,0,0,20,447,216,80,46,13,4663,,,
        2 pessoas activas,34197,0,6992,12598,10438,3019,848,189,68,45,116017,,,
          Nenhuma pessoa a cargo,8858,0,6424,1769,589,68,8,0,0,0,20899,,,
          1 pessoa a cargo,12423,0,553,9993,1465,360,48,3,1,0,39062,,,
          2 pessoas a cargo,9582,0,15,817,7736,779,216,14,4,1,38755,,,
          3 pessoas a cargo,2581,0,0,19,636,1624,231,56,12,3,12622,,,
          4 ou mais pessoas a cargo,753,0,0,0,12,188,345,116,51,41,4679,,,
        3 ou mais pessoas activas,9402,0,0,1853,3093,2148,1198,564,260,286,44771,,,
          Nenhuma pessoa a cargo,2627,0,0,1315,885,305,91,24,2,5,9785,,,
          1 pessoa a cargo,3072,0,0,481,1471,766,261,68,17,8,13407,,,
          2 pessoas a cargo,2107,0,0,56,658,731,417,163,59,23,10790,,,
          3 pessoas a cargo,916,0,0,1,77,296,302,155,49,36,5414,,,
          4 ou mais pessoas a cargo,680,0,0,0,2,50,127,154,133,214,5375,,,
      Região Autónoma da Madeira,92823,18141,23705,22738,17535,6572,2489,893,399,351,264652,,,
          Nenhuma pessoa activa,21885,10158,8852,1891,647,211,72,32,15,7,38019,,,
            Nenhuma pessoa a cargo,17726,9911,6977,715,103,16,2,2,0,0,26528,,,
            1 pessoa a cargo,2912,247,1787,733,119,22,2,2,0,0,6632,,,
            2 pessoas a cargo,773,0,88,410,228,33,8,4,1,1,2576,,,
            3 pessoas a cargo,305,0,0,33,182,71,13,5,1,0,1303,,,
            4 ou mais pessoas a cargo,169,0,0,0,15,69,47,19,13,6,980,,,
          1 pessoa activa,27339,7983,7861,6396,3357,1194,371,108,56,13,65845,,,
            Nenhuma pessoa a cargo,14406,7822,4495,1831,222,30,6,0,0,0,23379,,,
            1 pessoa a cargo,6498,161,3320,2346,563,94,11,1,2,0,16650,,,
            2 pessoas a cargo,3730,0,46,2186,1210,231,51,5,1,0,12994,,,
            3 pessoas a cargo,1883,0,0,33,1342,392,87,22,7,0,8159,,,
            4 ou mais pessoas a cargo,822,0,0,0,20,447,216,80,46,13,4663,,,
          2 pessoas activas,34197,0,6992,12598,10438,3019,848,189,68,45,116017,,,
            Nenhuma pessoa a cargo,8858,0,6424,1769,589,68,8,0,0,0,20899,,,
            1 pessoa a cargo,12423,0,553,9993,1465,360,48,3,1,0,39062,,,
            2 pessoas a cargo,9582,0,15,817,7736,779,216,14,4,1,38755,,,
            3 pessoas a cargo,2581,0,0,19,636,1624,231,56,12,3,12622,,,
            4 ou mais pessoas a cargo,753,0,0,0,12,188,345,116,51,41,4679,,,
          3 ou mais pessoas activas,9402,0,0,1853,3093,2148,1198,564,260,286,44771,,,
            Nenhuma pessoa a cargo,2627,0,0,1315,885,305,91,24,2,5,9785,,,
            1 pessoa a cargo,3072,0,0,481,1471,766,261,68,17,8,13407,,,
            2 pessoas a cargo,2107,0,0,56,658,731,417,163,59,23,10790,,,
            3 pessoas a cargo,916,0,0,1,77,296,302,155,49,36,5414,,,
            4 ou mais pessoas a cargo,680,0,0,0,2,50,127,154,133,214,5375,,,
