"6.09 - POPULAÇÃO RESIDENTE, SEGUNDO AS MIGRAÇÕES (RELATIVAMENTE A 31/12/2009), POR MUNICIPIO DE RESIDÊNCIA HABITUAL EM 21/03/2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,População residente em 2011,,População que ainda não tinha nascido (em 31/12/2009),,População que mantém a mesma residência (relativamente a 31/12/2009),,População que mudou de residência (relativamente a 31/12/2009),,,,,,,,,,,,,,,,,,,,,
Municipios de residência habitual em 21/03/2011,,,,,,,Na mesma freguesia,,Noutra freguesia do mesmo municipio,,Noutro municipio,,No estrangeiro,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,,,,,,,,,,,,,,
            Penela,5983,2841,61,29,5403,2572,275,129,76,33,133,62,35,16,,,,,,,,,,,,,,
            Tábua,12071,5743,92,64,10795,5106,595,288,204,87,283,143,102,55,,,,,,,,,,,,,,
            Vila Nova de Poiares,7281,3485,81,39,6382,3053,423,198,142,69,188,89,65,37,,,,,,,,,,,,,,
            Alvaiázere,7287,3406,52,25,6662,3094,262,118,67,40,182,92,62,37,,,,,,,,,,,,,,
            Ansião,13128,6187,97,46,11994,5670,565,261,114,40,237,108,121,62,,,,,,,,,,,,,,
            Castanheira de Pêra,3191,1520,27,13,2855,1361,223,109,7,2,57,25,22,10,,,,,,,,,,,,,,
            Figueiró dos Vinhos,6169,2892,35,14,5586,2620,307,143,54,28,151,64,36,23,,,,,,,,,,,,,,
            Pedrógão Grande,3915,1851,23,10,3525,1649,176,101,31,12,106,50,54,29,,,,,,,,,,,,,,
          Dão-Lafões,277240,131554,2631,1391,248021,117405,12838,6060,6505,3071,4800,2251,2445,1376,,,,,,,,,,,,,,
            Aguiar da Beira,5473,2580,49,19,5010,2370,194,91,54,26,111,43,55,31,,,,,,,,,,,,,,
            Carregal do Sal,9835,4664,97,41,8816,4162,494,236,152,65,182,104,94,56,,,,,,,,,,,,,,
            Castro Daire,15339,7370,117,58,14120,6774,623,286,116,64,177,84,186,104,,,,,,,,,,,,,,
            Mangualde,19880,9559,195,110,17909,8595,1126,526,224,112,297,155,129,61,,,,,,,,,,,,,,
            Mortágua,9607,4621,77,36,8717,4174,392,202,167,83,129,49,125,77,,,,,,,,,,,,,,
            Nelas,14037,6676,136,70,12905,6115,556,270,115,53,193,93,132,75,,,,,,,,,,,,,,
            Oliveira de Frades,10261,4868,100,64,9223,4342,462,226,159,76,238,115,79,45,,,,,,,,,,,,,,
            Penalva do Castelo,7956,3815,53,20,7382,3542,266,124,71,34,119,57,65,38,,,,,,,,,,,,,,
            Santa Comba Dão,11597,5466,92,50,10553,4962,525,250,145,64,176,80,106,60,,,,,,,,,,,,,,
            São Pedro do Sul,16851,7891,161,95,15253,7117,763,356,302,142,246,115,126,66,,,,,,,,,,,,,,
            Sátão,12444,5905,100,56,11357,5370,470,231,157,71,221,99,139,78,,,,,,,,,,,,,,
            Tondela,28946,13730,187,97,26057,12331,1505,709,475,216,435,207,287,170,,,,,,,,,,,,,,
            Vila Nova de Paiva,5176,2463,44,21,4759,2278,196,82,36,12,78,34,63,36,,,,,,,,,,,,,,
