"6.14 - POPULAÇÃO RESIDENTE, SEGUNDO OS PAÍSES DE PROVENIÊNCIA( RELATIVAMENTE A 31/12/2005), POR PAÍSES DE NATURALIDADE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,População Residente em 2011,,Imigrante no município,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Proveniente de outros municípios,,Proveniente do estrangeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Países de naturalidade,,,,,Total,,França,,Países Baixos,,Alemanha,,Itália,,Reino Unido,,Irlanda,,Espanha,,Bélgica,,Luxemburgo,,Suiça,,Andorra,,Roménia,,Bulgária,,Ucrânia,,"Moldova, República de",,PALOP,,África do Sul,,Estados Unidos,,Canadá,,"Venezuela, República Bolivariana da",,Brasil,,Índia,,China,,Outros,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
    China,10887,5620,1722,946,2956,1427,34,15,6,2,8,5,90,44,8,2,7,4,75,34,6,2,1,1,1,1,0,0,3,3,0,0,3,1,0,0,3,1,0,0,4,2,1,0,0,0,2,1,1,0,2664,1292,39,17
    Índia,8129,4653,473,311,1644,1057,23,22,2,1,19,14,23,19,37,22,2,0,16,11,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,12,8,0,0,7,4,1,1,1,1,4,3,1471,935,0,0,23,13
    Japão,323,132,23,8,96,38,2,1,1,1,1,0,0,0,5,0,0,0,2,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,7,3,0,0,1,0,71,30
    Macau,2078,913,152,70,93,36,2,0,0,0,0,0,0,0,6,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,2,1,75,34
    Paquistão,2015,1334,182,158,736,403,7,7,1,1,0,0,2,2,6,4,2,2,7,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,705,377
    Timor Leste,1789,809,150,75,154,69,1,0,1,1,1,0,0,0,12,9,1,1,2,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,129,52
    Outros países - Ásia,7632,4516,629,383,3058,1935,20,13,14,8,34,20,14,8,39,12,18,12,25,20,11,7,0,0,9,5,1,1,6,3,0,0,29,14,21,7,10,3,2,1,15,9,4,2,2,0,6,3,5,4,2,0,2771,1783
    Oceânia,1375,620,115,45,153,65,4,4,3,2,1,1,2,1,18,9,5,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,1,1,0,3,1,1,1,0,0,105,42
    Austrália,1252,565,104,41,119,51,2,2,2,1,1,1,2,1,10,5,3,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,2,1,1,1,0,0,88,37
    Outros países da Oceânia,123,55,11,4,34,14,2,2,1,1,0,0,0,0,8,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,17,5
    Outros países,12,6,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
