"6.02 - POPULAÇÃO RESIDENTE SEGUNDO A DIMENSÃO DOS LUGARES, POPULAÇÃO ISOLADA, EMBARCADA CORPO DIPLOMÁTICO E SEXO POR GRUPO ETÁRIO",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Em lugares até 1999 habitantes,,Em lugares de 2000 a 4999 habitantes,,Em lugares de 5000 a 9999 habitantes,,Em lugares de 10000 a 19999 habitantes,,Em lugares de 20000 a 49999 habitantes,,Em lugares de 50000 a 99999 habitantes,,Em lugares de 100000 a 199999 habitantes,,Em lugares de 200000 a 499999 habitantes,,Em lugares de 500000 a 999999 habitantes,,Em lugares com 1000000 habitantes ou mais,,"População isolada, embarcada e corpo diplomático",
Zona Geográfica,,,,,,,,,,,,,,,,,,,,,,,,
Grupo Etário,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
          5 - 9 anos,146155,74836,18284,9342,16504,8402,19370,10061,25048,12802,10285,5228,24217,12531,8445,4304,0,0,23320,11816,0,0,682,350
          10 - 14 anos,147180,75011,18567,9457,16345,8391,18836,9767,24489,12309,10395,5382,25659,12977,8762,4380,0,0,23408,11957,0,0,719,391
          15 - 19 anos,143346,73231,17125,8823,14936,7734,18207,9335,23289,11746,10239,5197,25157,12808,9206,4752,0,0,24417,12393,0,0,770,443
          20 - 24 anos,151697,75625,17035,8823,14846,7475,18574,9338,24736,12136,10602,5273,25927,12693,10270,4979,0,0,29019,14549,0,0,688,359
          25 - 29 anos,182228,88938,18853,9590,17666,8691,22332,10710,30597,14612,12895,6340,29802,14362,11990,5789,0,0,37407,18488,0,0,686,356
          30 - 34 anos,223103,108190,23177,11290,22838,11055,28670,13822,39375,19009,16983,8150,36874,17779,13506,6532,0,0,40923,20175,0,0,757,378
          35 - 39 anos,234961,114027,27136,13298,25437,12387,30450,14662,40657,19674,17099,8199,39398,18927,13394,6534,0,0,40367,19835,0,0,1023,511
          40 - 44 anos,204016,98098,24858,12360,21969,10567,26017,12421,33686,16194,14495,6897,34929,16557,11864,5725,0,0,35114,16816,0,0,1084,561
          45 - 49 anos,192953,91344,24058,11836,19948,9583,24453,11491,30641,14218,13834,6470,32259,15138,11358,5280,0,0,35325,16767,0,0,1077,561
          50 - 54 anos,182884,85225,22449,11143,18699,8848,23036,10674,29269,13384,12895,5952,29811,13777,11752,5371,0,0,33916,15472,0,0,1057,604
          55 - 59 anos,178352,81772,21068,10262,17512,8316,22231,10094,29549,13192,12645,5646,28601,12991,11396,5163,0,0,34403,15617,0,0,947,491
          60 - 64 anos,176613,81319,20707,10034,16104,7745,21620,10104,30000,13875,12532,5695,28143,12848,11755,5287,0,0,34810,15245,0,0,942,486
          65 - 69 anos,151763,69802,17759,8691,13652,6533,18148,8513,25100,11830,10651,4826,23880,10915,10310,4715,0,0,31486,13382,0,0,777,397
          70 - 74 anos,127059,56343,14925,7094,10741,5008,14796,6723,18980,8608,8640,3827,19525,8682,8633,3825,0,0,30165,12235,0,0,654,341
          75 - 79 anos,106543,43855,12193,5459,8477,3634,11977,5039,14529,6260,6820,2853,16148,6542,6884,2823,0,0,28941,10983,0,0,574,262
          80 - 84 anos,71952,26272,7951,3187,5620,2123,7786,2902,9522,3524,4569,1719,10125,3710,4169,1555,0,0,21896,7424,0,0,314,128
          85 - 89 anos,39498,12573,4371,1430,3017,981,4238,1379,5182,1689,2494,804,5241,1755,2003,651,0,0,12777,3831,0,0,175,53
          90 ou mais anos,17027,4415,1876,525,1358,368,1855,460,2299,626,1068,286,2052,556,743,205,0,0,5690,1365,0,0,86,24
          Menos de 1 ano,29691,14979,3429,1771,3134,1582,3874,1950,5192,2551,2165,1134,4956,2474,1856,927,0,0,4975,2534,0,0,110,56
          18 ou mais anos,2300053,1067921,265323,128536,223914,106432,283629,132129,373754,173630,162421,75043,373106,172515,143925,66410,0,0,462845,207550,0,0,11136,5676
      Alentejo,757302,366739,305028,148834,102819,49263,133048,63887,78846,37769,93874,44028,0,0,0,0,0,0,0,0,0,0,43687,22958
          0 - 4 anos,31612,16169,10466,5289,4257,2205,6462,3357,4083,2066,4648,2401,0,0,0,0,0,0,0,0,0,0,1696,851
          5 - 9 anos,34802,17908,12203,6233,4834,2459,6890,3589,4172,2119,4740,2463,0,0,0,0,0,0,0,0,0,0,1963,1045
          10 - 14 anos,36360,18701,13038,6705,5040,2562,7040,3617,4284,2197,4833,2525,0,0,0,0,0,0,0,0,0,0,2125,1095
          15 - 19 anos,35631,18120,13065,6645,4898,2473,6635,3396,4120,2099,4821,2427,0,0,0,0,0,0,0,0,0,0,2092,1080
          20 - 24 anos,38122,19730,14317,7513,5295,2699,6817,3495,4375,2267,5120,2541,0,0,0,0,0,0,0,0,0,0,2198,1215
          25 - 29 anos,42477,21809,15182,8057,5903,3001,8134,4074,5051,2507,6006,2928,0,0,0,0,0,0,0,0,0,0,2201,1242
          30 - 34 anos,50637,25473,17551,9074,6797,3333,9932,4861,6262,3100,7393,3635,0,0,0,0,0,0,0,0,0,0,2702,1470
          35 - 39 anos,53244,26744,19166,9886,7259,3604,10299,5101,6307,3053,7300,3500,0,0,0,0,0,0,0,0,0,0,2913,1600
          40 - 44 anos,51325,25654,19393,10032,7103,3527,9272,4560,5697,2692,6750,3158,0,0,0,0,0,0,0,0,0,0,3110,1685
          45 - 49 anos,52985,26183,21147,10900,7273,3537,9001,4240,5567,2636,6738,3097,0,0,0,0,0,0,0,0,0,0,3259,1773
          50 - 54 anos,51600,25580,20748,10658,6955,3433,9052,4374,5337,2518,6410,2953,0,0,0,0,0,0,0,0,0,0,3098,1644
          55 - 59 anos,48890,24321,19844,9967,6841,3435,8244,4016,4782,2325,6088,2894,0,0,0,0,0,0,0,0,0,0,3091,1684
          60 - 64 anos,46629,22180,19714,9412,6230,2966,7878,3715,4541,2141,5508,2490,0,0,0,0,0,0,0,0,0,0,2758,1456
          65 - 69 anos,43087,19567,19412,8695,5739,2578,7069,3233,3890,1800,4489,2040,0,0,0,0,0,0,0,0,0,0,2488,1221
          70 - 74 anos,44895,19938,22096,9813,5796,2532,6634,2938,3519,1559,4203,1753,0,0,0,0,0,0,0,0,0,0,2647,1343
          75 - 79 anos,42061,18161,21303,9396,5369,2221,6004,2496,3036,1271,3897,1553,0,0,0,0,0,0,0,0,0,0,2452,1224
          80 - 84 anos,29704,12131,14967,6291,3927,1553,4291,1668,2127,803,2769,1007,0,0,0,0,0,0,0,0,0,0,1623,809
          85 - 89 anos,16353,6175,8079,3136,2323,857,2363,858,1199,452,1508,488,0,0,0,0,0,0,0,0,0,0,881,384
          90 ou mais anos,6888,2195,3337,1132,980,288,1031,299,497,164,653,175,0,0,0,0,0,0,0,0,0,0,390,137
          Menos de 1 ano,6290,3205,2062,1015,832,451,1283,672,821,415,940,485,0,0,0,0,0,0,0,0,0,0,352,167
          18 ou mais anos,633691,303392,261780,126809,85787,40545,108735,51319,63855,30144,76871,35231,0,0,0,0,0,0,0,0,0,0,36663,19344
      Algarve,451006,219931,192239,94998,32669,16047,23427,11506,93478,44842,90345,42752,0,0,0,0,0,0,0,0,0,0,18848,9786
          0 - 4 anos,21765,11048,8174,4164,1759,897,1471,773,5022,2566,4742,2366,0,0,0,0,0,0,0,0,0,0,597,282
          5 - 9 anos,22492,11637,8975,4547,1686,856,1366,753,5029,2636,4764,2496,0,0,0,0,0,0,0,0,0,0,672,349
          10 - 14 anos,22717,11565,9326,4702,1626,848,1337,682,5138,2617,4542,2343,0,0,0,0,0,0,0,0,0,0,748,373
          15 - 19 anos,22487,11592,9084,4727,1660,873,1168,601,5151,2613,4642,2355,0,0,0,0,0,0,0,0,0,0,782,423
          20 - 24 anos,23086,11605,9240,4705,1826,913,1246,631,5278,2615,4689,2308,0,0,0,0,0,0,0,0,0,0,807,433
          25 - 29 anos,27941,13745,10526,5273,2324,1174,1566,783,6281,2991,6381,3081,0,0,0,0,0,0,0,0,0,0,863,443
          30 - 34 anos,33909,16632,12291,6130,2841,1397,2297,1094,7799,3762,7715,3740,0,0,0,0,0,0,0,0,0,0,966,509
          35 - 39 anos,36261,17977,14112,7017,2757,1380,2326,1155,8185,4031,7776,3809,0,0,0,0,0,0,0,0,0,0,1105,585
          40 - 44 anos,33491,16399,13842,6952,2530,1241,1713,850,7630,3654,6602,3106,0,0,0,0,0,0,0,0,0,0,1174,596
          45 - 49 anos,32271,15794,13885,6931,2345,1153,1615,779,6962,3332,6070,2870,0,0,0,0,0,0,0,0,0,0,1394,729
          50 - 54 anos,30510,15054,13280,6751,2087,1045,1471,717,6351,2990,5834,2731,0,0,0,0,0,0,0,0,0,0,1487,820
          55 - 59 anos,29048,14230,13317,6597,1978,984,1374,671,5388,2628,5470,2515,0,0,0,0,0,0,0,0,0,0,1521,835
          60 - 64 anos,27259,13353,12971,6482,1688,831,1157,573,4765,2289,5230,2437,0,0,0,0,0,0,0,0,0,0,1448,741
          65 - 69 anos,23682,11536,11481,5721,1586,754,930,471,3972,1888,4344,2012,0,0,0,0,0,0,0,0,0,0,1369,690
          70 - 74 anos,21254,10110,10537,5153,1405,671,762,361,3487,1574,3697,1629,0,0,0,0,0,0,0,0,0,0,1366,722
          75 - 79 anos,18763,8292,9265,4266,1166,491,644,269,3072,1268,3401,1372,0,0,0,0,0,0,0,0,0,0,1215,626
          80 - 84 anos,12891,5367,6340,2742,742,318,496,181,2110,817,2423,911,0,0,0,0,0,0,0,0,0,0,780,398
          85 - 89 anos,7706,2892,3814,1526,455,157,339,113,1271,415,1448,507,0,0,0,0,0,0,0,0,0,0,379,174
