"6.34 - POPULAÇÃO RESIDENTE  EMPREGADA, SEGUNDO A SITUAÇÃO NA PROFISSÃO E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Zona Geográfica,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo de cooperativa de produção,,Outra situação,,
,,,,,,,,,,,,,,,
Ramos de actividade económica,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,
      Outros transportes terrestres  de passageiros,38645,33813,2973,2436,5548,5213,73,63,29675,25758,205,199,171,144,
      Transportes rodoviários de mercadorias e actividades de mudanças,64387,55502,6406,5178,1820,1729,79,67,55775,48265,40,38,267,225,
      Transportes por oleodutos ou gasodutos,6,3,1,0,0,0,0,0,5,3,0,0,0,0,
      Transportes marítimos de passageiros,2127,1632,134,109,30,27,3,2,1937,1471,0,0,23,23,
      Transportes marítimos de mercadorias,987,823,44,39,6,5,0,0,925,767,1,1,11,11,
      Transportes de passageiros por vias navegáveis interiores,235,188,6,6,0,0,0,0,229,182,0,0,0,0,
      Transportes de mercadorias por vias navegáveis interiores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
      Transportes aéreos de passageiros,12115,7393,0,0,0,0,0,0,12063,7358,0,0,52,35,
      Transportes aéreos de mercadorias e transportes espaciais,20,12,0,0,0,0,0,0,19,11,0,0,1,1,
      Armazenagem,270,183,19,14,4,2,0,0,242,165,0,0,5,2,
      Actividades auxiliares dos transportes,19240,13723,868,707,186,167,9,7,18066,12758,5,4,106,80,
      Actividades postais sujeitas a obrigações do serviço universal,15897,10337,0,0,0,0,0,0,15824,10300,0,0,73,37,
      Outras actividades postais e de courier,859,655,74,66,16,14,1,1,759,567,1,1,8,6,
      Estabelecimentos hoteleiros,65188,28221,6727,3892,1642,824,272,96,56087,23199,26,13,434,197,
      Residencias para férias e outros alojamentos de curta duração,2438,954,301,156,156,61,25,14,1916,707,0,0,40,16,
      Parques de campismo e de caravanismo,999,543,67,45,9,7,2,1,914,487,0,0,7,3,
      Outros locais de alojamento,283,31,10,2,5,0,1,0,261,28,0,0,6,1,
      Restaurantes (inclui actividades de restauração em meios móveis),138586,56773,30940,17066,4812,2152,1496,523,100057,36472,91,35,1190,525,
      Fornecimento de refeições para eventos e outras actividades de serviço de refeições,12203,2072,719,257,82,29,28,6,11264,1745,7,1,103,34,
      Estabelecimentos de bebidas,72064,30648,17103,9594,11562,5565,1152,426,41546,14756,50,26,651,281,
"      Edição  de livros, de jornais e de outras publicações",7292,3719,890,540,346,202,2,2,5829,2853,0,0,225,122,
      Edição de programas informáticos,88,66,8,8,3,3,0,0,76,54,0,0,1,1,
"      Actividades cinematográficas, de vídeo e de produção de programas de televisão",5956,3771,1321,960,439,361,2,1,3746,2203,0,0,448,246,
      Actividades de gravação de som e edição de música,218,149,67,53,37,33,0,0,110,59,0,0,4,4,
      Actividades de rádio,1630,920,118,81,21,13,0,0,1455,807,0,0,36,19,
      Actividades de  televisão,3807,2319,373,234,60,46,1,0,3248,1970,0,0,125,69,
      Actividades de telecomunicações por fio,48142,30061,2919,2267,580,519,10,8,44233,27000,11,10,389,257,
      Actividades de telecomunicações sem fio,345,148,16,8,0,0,0,0,327,139,0,0,2,1,
      Actividades de telecomunicações por satélite,19,18,2,2,1,1,0,0,16,15,0,0,0,0,
      Outras actividades de telecomunicações,594,333,70,53,27,20,0,0,488,255,0,0,9,5,
      Consultoria e programação informática e actividades relacionadas,33053,25026,3961,3376,1686,1567,1,0,27075,19838,1,1,329,244,
"      Actividades de processamento de dados, domiciliação de informação  e actividades relacionadas; portais Web",400,171,38,19,15,10,0,0,339,141,0,0,8,1,
      Outras actividades dos serviços de informação,815,328,96,52,20,11,0,0,669,257,0,0,30,8,
      Intermediação monetária,69555,36647,2034,1060,176,106,8,3,67053,35317,1,0,283,161,
