"6.18 - POPULAÇÃO RESIDENTE, SEGUNDO O ESTADO CIVIL LEGAL E SEXO, POR VIVENCIA EM UNIÃO DE FACTO E GRUPO ETÁRIO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,Total,,Solteiro,,Casado,,Divorciado,,Viúvo,,,,,,,,,,,,,,,,,,,
Vivência em união de facto e grupo etário,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HM,H,HM,H,HM,H,HM,H,HM,H,,,,,,,,,,,,,,,,,,
          Menos de 15 anos,437881,223576,437881,223576,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
          15 - 19 anos,141304,72718,140866,72584,400,127,11,4,27,3,,,,,,,,,,,,,,,,,,
          20 - 24 anos,134132,68958,127152,66856,6624,1995,261,86,95,21,,,,,,,,,,,,,,,,,,
          25 - 29 anos,135733,67794,99382,53819,34244,13355,1957,592,150,28,,,,,,,,,,,,,,,,,,
          30 - 34 anos,165502,79306,69664,37502,87749,39019,7741,2717,348,68,,,,,,,,,,,,,,,,,,
          35 - 39 anos,187244,89571,49904,26020,121098,57757,15470,5654,772,140,,,,,,,,,,,,,,,,,,
          40 - 44 anos,171352,81145,33151,17071,118273,57193,18393,6609,1535,272,,,,,,,,,,,,,,,,,,
          45 - 49 anos,168357,78460,25407,12862,119032,57640,20896,7489,3022,469,,,,,,,,,,,,,,,,,,
          50 - 54 anos,164484,75363,18647,9027,119390,58037,21091,7448,5356,851,,,,,,,,,,,,,,,,,,
          55 - 59 anos,164876,74155,13740,6156,123217,60096,18988,6552,8931,1351,,,,,,,,,,,,,,,,,,
          60 - 64 anos,167701,76079,10304,4119,127375,64358,15963,5299,14059,2303,,,,,,,,,,,,,,,,,,
          65 - 69 anos,146376,66584,7510,2521,108739,57538,10423,3387,19704,3138,,,,,,,,,,,,,,,,,,
          70 - 74 anos,123659,54275,6551,1915,83970,46070,6664,1988,26474,4302,,,,,,,,,,,,,,,,,,
          75 ou mais anos,231369,84901,14089,2748,107297,63298,8559,1978,101424,16877,,,,,,,,,,,,,,,,,,
      Alentejo,757302,366739,288668,155742,357742,178913,40288,18214,70604,13870,,,,,,,,,,,,,,,,,,
        Vive em união de facto,59841,30077,41846,21282,1678,883,13419,6798,2898,1114,,,,,,,,,,,,,,,,,,
          Menos de 15 anos,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
          15 - 19 anos,784,184,784,184,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
          20 - 24 anos,4697,1763,4636,1751,17,6,41,6,3,0,,,,,,,,,,,,,,,,,,
          25 - 29 anos,9833,4532,9345,4402,87,29,390,101,11,0,,,,,,,,,,,,,,,,,,
          30 - 34 anos,11012,5605,9403,5014,177,72,1387,512,45,7,,,,,,,,,,,,,,,,,,
          35 - 39 anos,8875,4629,6352,3549,261,119,2172,945,90,16,,,,,,,,,,,,,,,,,,
          40 - 44 anos,6344,3239,3685,2068,236,105,2242,1033,181,33,,,,,,,,,,,,,,,,,,
          45 - 49 anos,5336,2762,2559,1437,241,110,2274,1167,262,48,,,,,,,,,,,,,,,,,,
          50 - 54 anos,4205,2264,1661,967,229,130,1998,1087,317,80,,,,,,,,,,,,,,,,,,
          55 - 59 anos,2798,1599,1015,594,147,98,1280,799,356,108,,,,,,,,,,,,,,,,,,
          60 - 64 anos,1933,1145,650,369,113,79,808,546,362,151,,,,,,,,,,,,,,,,,,
          65 - 69 anos,1366,732,486,215,73,56,432,309,375,152,,,,,,,,,,,,,,,,,,
          70 - 74 anos,1111,658,500,284,55,44,215,155,341,175,,,,,,,,,,,,,,,,,,
          75 ou mais anos,1547,965,770,448,42,35,180,138,555,344,,,,,,,,,,,,,,,,,,
        Não vive em união de facto,697461,336662,246822,134460,356064,178030,26869,11416,67706,12756,,,,,,,,,,,,,,,,,,
          Menos de 15 anos,102774,52778,102774,52778,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
          15 - 19 anos,34847,17936,34682,17896,150,37,5,1,10,2,,,,,,,,,,,,,,,,,,
          20 - 24 anos,33425,17967,31344,17361,1962,570,89,29,30,7,,,,,,,,,,,,,,,,,,
          25 - 29 anos,32644,17277,22770,13646,9319,3457,515,164,40,10,,,,,,,,,,,,,,,,,,
          30 - 34 anos,39625,19868,14192,8939,23415,10147,1892,759,126,23,,,,,,,,,,,,,,,,,,
          35 - 39 anos,44369,22115,9118,5842,31828,14961,3183,1271,240,41,,,,,,,,,,,,,,,,,,
          40 - 44 anos,44981,22415,6720,4412,33935,16259,3889,1659,437,85,,,,,,,,,,,,,,,,,,
          45 - 49 anos,47649,23421,5614,3740,36845,17698,4257,1823,933,160,,,,,,,,,,,,,,,,,,
          50 - 54 anos,47395,23316,4160,2751,37601,18558,3962,1721,1672,286,,,,,,,,,,,,,,,,,,
          55 - 59 anos,46092,22722,3135,1942,37205,18898,3112,1432,2640,450,,,,,,,,,,,,,,,,,,
          60 - 64 anos,44696,21035,2420,1309,35967,18106,2212,987,4097,633,,,,,,,,,,,,,,,,,,
          65 - 69 anos,41721,18835,2038,971,32170,16299,1497,658,6016,907,,,,,,,,,,,,,,,,,,
          70 - 74 anos,43784,19280,2235,999,30919,16286,1026,438,9604,1557,,,,,,,,,,,,,,,,,,
          75 ou mais anos,93459,37697,5620,1874,44748,26754,1230,474,41861,8595,,,,,,,,,,,,,,,,,,
      Algarve,451006,219931,194273,103743,191499,95828,32551,14178,32683,6182,,,,,,,,,,,,,,,,,,
        Vive em união de facto,50234,25184,35858,18023,1381,740,11127,5783,1868,638,,,,,,,,,,,,,,,,,,
          Menos de 15 anos,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
          15 - 19 anos,471,105,470,105,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,
          20 - 24 anos,3295,1185,3254,1176,13,1,28,8,0,0,,,,,,,,,,,,,,,,,,
          25 - 29 anos,7740,3499,7458,3422,56,14,221,62,5,1,,,,,,,,,,,,,,,,,,
          30 - 34 anos,9332,4595,8284,4174,135,55,898,364,15,2,,,,,,,,,,,,,,,,,,
          35 - 39 anos,8124,4199,6314,3418,170,69,1585,707,55,5,,,,,,,,,,,,,,,,,,
          40 - 44 anos,5761,2924,3719,1976,206,97,1742,835,94,16,,,,,,,,,,,,,,,,,,
          45 - 49 anos,4820,2509,2528,1416,226,122,1909,947,157,24,,,,,,,,,,,,,,,,,,
          50 - 54 anos,3622,2022,1527,939,180,104,1699,929,216,50,,,,,,,,,,,,,,,,,,
          55 - 59 anos,2548,1466,924,572,164,110,1240,723,220,61,,,,,,,,,,,,,,,,,,
          60 - 64 anos,1723,987,499,282,98,65,868,560,258,80,,,,,,,,,,,,,,,,,,
          65 - 69 anos,1134,672,328,200,63,49,494,333,249,90,,,,,,,,,,,,,,,,,,
          70 - 74 anos,751,456,228,143,34,25,264,182,225,106,,,,,,,,,,,,,,,,,,
          75 ou mais anos,913,565,325,200,35,29,179,133,374,203,,,,,,,,,,,,,,,,,,
        Não vive em união de facto,400772,194747,158415,85720,190118,95088,21424,8395,30815,5544,,,,,,,,,,,,,,,,,,
          Menos de 15 anos,66974,34250,66974,34250,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
          15 - 19 anos,22016,11487,21890,11452,123,34,2,1,1,0,,,,,,,,,,,,,,,,,,
          20 - 24 anos,19791,10420,18283,9978,1445,425,55,17,8,0,,,,,,,,,,,,,,,,,,
          25 - 29 anos,20201,10246,13900,7916,5916,2218,347,107,38,5,,,,,,,,,,,,,,,,,,
          30 - 34 anos,24577,12037,9791,5631,13598,5977,1130,421,58,8,,,,,,,,,,,,,,,,,,
          35 - 39 anos,28137,13778,7194,4229,18512,8707,2275,812,156,30,,,,,,,,,,,,,,,,,,
          40 - 44 anos,27730,13475,5184,3103,19353,9291,2929,1050,264,31,,,,,,,,,,,,,,,,,,
          45 - 49 anos,27451,13285,4036,2539,19580,9412,3323,1253,512,81,,,,,,,,,,,,,,,,,,
          50 - 54 anos,26888,13032,3056,2018,19739,9592,3188,1272,905,150,,,,,,,,,,,,,,,,,,
          55 - 59 anos,26500,12764,2239,1445,20075,9912,2793,1169,1393,238,,,,,,,,,,,,,,,,,,
          60 - 64 anos,25536,12366,1544,951,19790,10130,2103,932,2099,353,,,,,,,,,,,,,,,,,,
          65 - 69 anos,22548,10864,1154,672,17195,9113,1367,608,2832,471,,,,,,,,,,,,,,,,,,
          70 - 74 anos,20503,9654,986,586,14494,7941,890,401,4133,726,,,,,,,,,,,,,,,,,,
          75 ou mais anos,41920,17089,2184,950,20298,12336,1022,352,18416,3451,,,,,,,,,,,,,,,,,,
    Região Autónoma dos Açores,246772,121534,106223,57352,111524,55744,12612,5801,16413,2637,,,,,,,,,,,,,,,,,,
      Vive em união de facto,12975,6513,7875,4091,496,234,3959,2021,645,167,,,,,,,,,,,,,,,,,,
        Menos de 15 anos,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
        15 - 19 anos,329,56,328,56,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,
