"3.19 - ALOJAMENTOS CLÁSSICOS PROPRIEDADE DOS OCUPANTES, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO O NÚMERO DE DIVISÕES, POR GRUPO SÓCIO-ECONÓMICO DO TITULAR DO ALOJAMENTO, EXISTÊNCIA DE ENCARGOS POR COMPRA E RESPECTIVOS ESCALÕES",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,"Alojamentos clássicos, segundo o número de divisões",,,,,,,,,,Famílias clássicas,Pessoas residentes,
Grupo sócio-económico do titular do alojamento e escalão de encargos,,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9,Com 10 ou mais ,,,
      Directores e quadros dirigentes do Estado e empresas,55057,8,179,2157,11416,19095,10623,5607,2928,1533,1511,55198,165267,
        Sem encargos,12426,3,34,332,1862,4034,2606,1536,880,562,577,12492,36864,
        Com encargos,42631,5,145,1825,9554,15061,8017,4071,2048,971,934,42706,128403,
        Menos de 75 euros,490,0,1,22,118,165,92,42,26,10,14,490,1440,
"        75  - 99,99 euros",449,0,1,28,106,170,73,30,21,12,8,449,1271,
"        100 - 149,99 euros",1089,0,7,55,251,424,168,86,51,21,26,1089,3214,
        150 - 199.99 euros,1454,1,17,114,366,486,236,110,72,21,31,1456,4160,
"        200 - 249,99 euros",2069,1,9,180,610,745,280,122,72,24,26,2073,5658,
"        250 - 299,99 euros",3438,0,27,270,1090,1217,443,205,104,44,38,3440,9426,
"        300 - 349,99 euros",3702,0,20,278,1217,1265,493,235,105,48,41,3707,10255,
"        350 - 399,99 euros",4365,1,21,267,1352,1576,618,282,141,56,51,4373,12115,
"        400 - 499,99 euros",7335,1,21,320,1961,2830,1143,568,270,118,103,7353,21258,
"        500 - 649,99 euros",7652,1,13,194,1444,2907,1617,786,371,166,153,7663,23899,
"        650 - 799,99 euros",4532,0,4,51,603,1619,1166,572,261,140,116,4539,14741,
