"6.11 - POPULAÇÃO RESIDENTE, SEGUNDO OS PAÍSES DE PROVENIÊNCIA( RELATIVAMENTE A 31/12/2009), POR MUNICIPIO DE RESIDÊNCIA HABITUAL EM 21/03/2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,População Residente em 2011,,Imigrante no município,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Proveniente de outros municípios,,Proveniente do estrangeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Municipios de residência habitual em 21/03/2011,,,,,Total,,França,,Países Baixos,,Alemanha,,Itália,,Reino Unido,,Irlanda,,Espanha,,Bélgica,,Luxemburgo,,Suiça,,Andorra,,Roménia,,Bulgária,,Ucrânia,,"Moldova, República de",,PALOP,,África do Sul,,Estados Unidos,,Canadá,,"Venezuela, República Bolivariana da",,Brasil,,Índia,,China,,Outros,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
            Vila Flor,6697,3212,116,49,65,32,22,10,0,0,2,1,0,0,0,0,0,0,12,7,0,0,0,0,5,2,0,0,7,3,6,3,1,0,0,0,2,2,0,0,0,0,0,0,0,0,7,3,0,0,0,0,1,1
            Vila Nova de Foz Côa,7312,3458,135,64,140,75,95,49,0,0,1,0,1,1,0,0,1,1,12,5,0,0,1,1,21,13,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,2,1,1,0
            Alijó,11942,5772,201,87,122,80,46,28,0,0,4,2,1,1,0,0,2,1,33,24,2,1,5,4,14,8,3,2,2,2,6,4,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
            Mesão Frio,4433,2121,96,41,13,11,4,4,0,0,0,0,0,0,0,0,1,1,4,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
            Peso da Régua,17131,8111,291,131,99,51,28,16,0,0,6,3,1,0,0,0,4,3,6,4,11,6,0,0,18,11,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,0,0,0,0,0,5,2,0,0,0,0,2,2
            Sabrosa,6361,3069,157,69,53,30,22,11,2,2,0,0,0,0,0,0,0,0,1,1,3,2,3,1,12,7,7,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
            Santa Marta de Penaguião,7356,3463,132,54,53,37,12,8,2,1,4,3,0,0,0,0,0,0,1,1,9,6,4,2,4,3,0,0,13,10,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
            Vila Real,51850,24670,1015,491,303,185,75,42,4,2,22,16,4,3,5,4,2,1,35,24,10,6,19,12,55,36,9,5,1,0,0,0,5,4,0,0,11,8,0,0,1,0,1,1,0,0,19,7,2,1,5,2,18,11
            Armamar,6297,2981,127,61,19,10,4,3,0,0,3,2,1,0,1,1,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
            Lamego,26691,12713,504,239,134,79,22,13,1,1,6,3,5,2,8,4,0,0,11,7,0,0,0,0,70,40,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,2,2
            Moimenta da Beira,10212,4888,207,107,163,95,48,26,4,2,8,4,0,0,0,0,0,0,3,3,0,0,1,1,63,38,2,1,0,0,1,0,4,3,0,0,17,9,0,0,3,2,0,0,0,0,4,3,0,0,3,1,2,2
            Penedono,2952,1415,43,22,29,13,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
            São João da Pesqueira,7874,3883,105,53,95,48,47,26,3,1,1,1,0,0,0,0,0,0,1,0,3,2,0,0,17,8,0,0,10,7,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,3,1,0,0,1,0,1,0
            Sernancelhe,5671,2747,119,57,82,46,43,24,1,1,7,3,0,0,0,0,0,0,1,1,0,0,1,1,24,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
            Tabuaço,6350,3049,119,53,193,107,55,30,0,0,11,5,0,0,2,1,0,0,25,15,1,0,0,0,88,50,1,1,0,0,0,0,0,0,0,0,4,2,0,0,2,1,0,0,0,0,2,0,0,0,0,0,2,2
            Tarouca,8048,3900,168,89,128,75,6,4,2,1,7,3,0,0,1,0,0,0,8,4,0,0,2,2,92,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,2,0,0,0,0,2,1
          Alto Trás-os-Montes,204381,98261,3293,1580,2639,1443,1077,556,12,6,96,55,2,0,60,36,3,3,589,339,24,12,41,22,237,140,134,74,4,2,6,5,15,4,5,3,87,56,3,3,66,35,21,12,2,1,90,39,0,0,7,4,58,36
            Alfândega da Fé,5104,2467,96,48,68,37,31,15,0,0,3,2,0,0,0,0,0,0,20,12,1,1,0,0,3,1,0,0,0,0,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,1
            Bragança,35341,16966,790,419,412,219,180,95,2,1,8,6,0,0,5,4,1,1,132,70,7,3,0,0,19,12,8,3,1,0,0,0,2,0,2,2,16,8,1,1,1,1,0,0,0,0,16,7,0,0,1,1,10,4
            Macedo de Cavaleiros,15776,7491,281,124,218,122,90,46,2,1,10,5,0,0,3,2,0,0,64,40,0,0,3,1,9,6,13,8,0,0,0,0,6,2,0,0,6,4,0,0,0,0,0,0,0,0,6,3,0,0,0,0,6,4
