"6.40 - TRABALHADORES POR CONTA DE OUTRÉM, SEGUNDO O NÚMERO DE HORAS DE TRABALHO NA SEMANA DE REFERÊNCIA  E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Zona Geográfica,Total,,De 1 h a menos de 5 h,,De 5 h a menos de 15 h,,De 15 h a menos de 30 h,,De 30 h a menos de 35 h,,De 35 h a menos de 40 h,,De 40 h a menos de 45 h,, 45 h ou mais,
Ramos de actividade económica,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
          Tratamento e eliminação de resíduos,248,160,0,0,5,3,2,1,4,3,30,22,156,95,51,36
          Valorização de materiais,1564,1108,1,1,44,30,14,7,13,10,157,110,1035,699,300,251
          Descontaminação e actividades similares,4,4,0,0,0,0,0,0,0,0,0,0,3,3,1,1
          Promoção imobiliária (desenvolvimento de projectos de edifícios),78,44,2,1,4,1,1,1,0,0,13,5,33,16,25,20
          Construção de edifícios (residenciais e não residenciais),45996,42995,186,165,1423,1307,386,293,495,426,3743,3197,30587,28938,9176,8669
"          Construção de  estradas, pontes, túneis, pistas de aeroportos e vias férreas",1997,1833,3,3,49,46,11,9,21,21,231,176,1150,1066,532,512
"          Construção de redes de transporte de águas, de esgotos, de distribuição de energia, de telecomunicações  e de outras redes",357,324,0,0,16,12,3,3,2,2,35,29,209,189,92,89
          Construção de outras obras de engenharia civil,3250,2991,6,4,84,77,18,14,25,18,269,213,1835,1704,1013,961
          Demolição e preparação dos locais de construção,985,908,2,1,47,44,4,1,8,6,66,51,581,535,277,270
"          Instalação eléctrica, de canalizações, de climatização e outras instalações",5576,4976,23,22,184,154,50,27,47,40,437,350,3776,3380,1059,1003
          Actividades de acabamento em edifícios,2816,2600,17,15,105,97,35,25,29,24,200,167,1889,1755,541,517
          Outras actividades especializadas de construção,435,385,1,1,16,12,3,1,6,4,26,23,309,274,74,70
          Comércio de veículos automóveis,4642,3450,10,7,136,99,38,17,30,23,398,193,2840,2075,1190,1036
          Manutenção e reparação de veículos automóveis,9827,8570,37,26,310,255,93,54,65,44,703,542,7127,6287,1492,1362
          Comércio de peças e acessórios para veículos automóveis,3543,2605,14,5,90,58,41,23,22,9,222,124,2450,1787,704,599
"          Comércio, manutenção e reparação de motociclos, de suas peças e acessórios",465,357,0,0,13,9,7,2,8,6,28,15,304,230,105,95
          Agentes do comércio por grosso,580,405,2,1,7,4,6,4,5,1,61,30,400,284,99,81
          Comércio por grosso de produtos agrícolas brutos e animais vivos,1600,918,4,1,41,19,28,11,26,9,109,51,985,545,407,282
"          Comércio por grosso de produtos alimentares, bebidas e tabaco",7323,4089,37,12,270,140,184,57,107,44,446,228,4559,2343,1720,1265
"          Comércio por grosso de bens de consumo, excepto alimentares, bebidas e tabaco",1390,807,7,5,44,27,27,17,17,6,102,57,901,474,292,221
          Comércio por grosso de equipamento das tecnologias  de informação e comunicação ( TIC),8,6,0,0,0,0,0,0,0,0,0,0,6,4,2,2
"          Comércio por grosso de outras máquinas, equipamentos e suas partes",3240,2382,15,9,77,57,28,5,19,7,185,104,2063,1460,853,740
"          Comércio por grosso de combustíveis, metais, materiais de construção, ferragens e outros produtos n.e.",5904,4670,21,15,150,117,66,41,62,40,430,301,3907,3041,1268,1115
          Comércio por grosso não especializado,3200,2090,7,4,109,63,81,44,35,18,214,110,1920,1155,834,696
          Comércio a retalho em estabelecimentos não especializados,20187,5828,150,33,632,183,2358,534,586,103,988,278,12383,3226,3090,1471
"          Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados",11086,5704,60,23,455,227,298,87,181,68,872,413,6154,2809,3066,2077
"          Comércio a retalho de combustível para veículos a motor, em estabelecimentos especializados",3521,1970,17,10,82,43,57,19,57,32,291,147,2384,1313,633,406
"          Comércio a retalho de equipamento das tecnologias de informação e comunicação (TIC), em estabelecimentos especializados",1779,1119,10,8,51,28,53,33,29,14,100,58,1181,702,355,276
"          Comércio a retalho de outro equipamento  para uso doméstico, em estabelecimentos especializados",14188,7741,60,23,375,190,349,97,162,59,844,390,9797,5120,2601,1862
"          Comércio a retalho de bens culturais e recreativos, em estabelecimentos especializados",2318,779,18,2,84,29,166,57,45,13,180,59,1469,466,356,153
"          Comércio a retalho de outros produtos, em estabelecimentos especializados",23109,6254,164,26,764,195,1269,207,478,77,1680,432,15058,3738,3696,1579
"          Comércio a retalho em bancas,  feiras e unidades móveis de venda",150,79,3,1,10,4,7,2,10,5,24,17,57,29,39,21
"          Comércio a retalho não efectuado em estabelecimentos,  bancas, feiras ou unidades móveis de venda",389,155,3,0,22,4,35,6,16,6,33,16,201,75,79,48
          Transporte interurbano  de passageiros por caminho-de-ferro,2159,2002,3,3,34,29,2,2,9,8,147,112,1568,1478,396,370
          Transporte de mercadorias por caminho-de-ferro,68,66,0,0,0,0,0,0,0,0,5,5,38,37,25,24
          Outros transportes terrestres  de passageiros,4579,3940,21,14,147,122,89,58,86,62,766,631,1938,1650,1532,1403
          Transportes rodoviários de mercadorias e actividades de mudanças,17057,15237,44,36,419,351,142,101,112,85,1017,795,6993,5908,8330,7961
          Transportes por oleodutos ou gasodutos,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
          Transportes marítimos de passageiros,268,240,0,0,7,7,4,3,4,3,19,14,53,45,181,168
          Transportes marítimos de mercadorias,135,130,1,1,6,6,0,0,0,0,14,12,26,25,88,86
          Transportes de passageiros por vias navegáveis interiores,14,11,0,0,0,0,0,0,1,0,5,5,4,4,4,2
          Transportes de mercadorias por vias navegáveis interiores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Transportes aéreos de passageiros,531,356,2,1,16,9,40,31,35,24,154,92,184,122,100,77
          Transportes aéreos de mercadorias e transportes espaciais,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
          Armazenagem,53,38,0,0,1,1,0,0,1,1,2,0,37,27,12,9
          Actividades auxiliares dos transportes,1644,1290,6,5,44,37,42,17,48,38,316,188,846,684,342,321
          Actividades postais sujeitas a obrigações do serviço universal,3312,2217,16,3,108,66,76,33,63,33,1157,812,1497,976,395,294
          Outras actividades postais e de courier,94,78,0,0,8,5,5,5,0,0,7,7,43,35,31,26
          Estabelecimentos hoteleiros,7230,2535,32,10,275,72,164,41,96,30,616,193,4294,1445,1753,744
          Residencias para férias e outros alojamentos de curta duração,299,91,3,1,19,7,16,1,8,2,31,4,167,57,55,19
          Parques de campismo e de caravanismo,201,113,2,0,6,3,4,3,7,4,36,16,126,76,20,11
          Outros locais de alojamento,79,5,0,0,2,0,1,0,5,0,46,4,17,0,8,1
          Restaurantes (inclui actividades de restauração em meios móveis),17916,5103,184,47,926,236,846,247,453,121,1299,353,8656,2173,5552,1926
          Fornecimento de refeições para eventos e outras actividades de serviço de refeições,2050,225,25,1,129,9,149,2,80,11,258,39,1170,95,239,68
          Estabelecimentos de bebidas,8593,2536,78,23,448,122,332,84,166,47,695,205,4413,1145,2461,910
"          Edição  de livros, de jornais e de outras publicações",732,322,5,1,25,4,26,13,14,7,164,70,317,121,181,106
          Edição de programas informáticos,4,4,0,0,0,0,0,0,0,0,1,1,3,3,0,0
"          Actividades cinematográficas, de vídeo e de produção de programas de televisão",317,181,2,2,13,4,46,23,16,7,28,16,148,83,64,46
          Actividades de gravação de som e edição de música,8,4,0,0,0,0,0,0,0,0,1,0,5,3,2,1
          Actividades de rádio,233,120,2,1,14,9,7,3,11,9,64,27,104,54,31,17
          Actividades de  televisão,127,78,2,1,1,1,3,1,1,1,32,23,50,23,38,28
          Actividades de telecomunicações por fio,6967,4502,34,17,178,106,259,117,240,92,1044,711,3748,2243,1464,1216
          Actividades de telecomunicações sem fio,28,11,0,0,1,0,1,0,1,0,2,2,17,6,6,3
          Actividades de telecomunicações por satélite,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
          Outras actividades de telecomunicações,65,34,2,0,1,1,3,1,1,1,8,4,42,20,8,7
          Consultoria e programação informática e actividades relacionadas,2765,2148,4,3,52,30,28,19,39,26,226,159,1727,1323,689,588
"          Actividades de processamento de dados, domiciliação de informação  e actividades relacionadas; portais Web",42,20,0,0,2,2,1,0,0,0,5,1,29,13,5,4
          Outras actividades dos serviços de informação,58,25,0,0,3,2,0,0,1,0,10,6,39,15,5,2
          Intermediação monetária,9697,5223,29,12,356,131,126,15,91,34,2351,1262,3431,1730,3313,2039
          Actividades das sociedades gestoras de participações sociais,78,32,0,0,2,0,0,0,0,0,5,2,45,16,26,14
"          Trusts, fundos e  entidades financeiras similares",12,1,0,0,0,0,0,0,0,0,2,0,7,0,3,1
"          Outras actividades de serviços financeiros, excepto seguros e fundos de pensões",299,165,1,1,9,2,1,0,6,3,51,22,114,56,117,81
          Seguros,1777,902,8,1,51,18,29,11,37,14,563,262,652,256,437,340
          Resseguros,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
          Fundos de pensões e regimes profissionais complementares,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"          Actividades auxiliares de serviços financeiros, excepto seguros e fundos de pensões",113,76,0,0,4,3,2,1,0,0,20,15,48,34,39,23
          Actividades auxiliares de seguros e de fundos de pensões,863,358,6,3,27,9,14,6,16,5,168,55,422,135,210,145
          Actividades de gestão de fundos,14,7,0,0,1,1,0,0,0,0,7,3,4,2,2,1
          Compra e venda de bens imobiliários,308,141,2,2,11,5,13,6,6,4,44,16,171,69,61,39
          Arrendamento de bens imobiliários,26,11,0,0,0,0,1,0,1,1,4,2,14,4,6,4
          Actividades imobiliárias por conta de outrem,1539,547,12,3,54,20,62,14,27,9,165,53,876,288,343,160
          Actividades jurídicas e dos cartórios notariais,1980,332,28,4,61,3,61,11,55,9,588,110,928,114,259,81
          Actividades de contabilidade e auditoria;  consultoria fiscal,6968,1767,66,8,241,58,130,31,99,27,1081,235,4244,913,1107,495
          Actividades das sedes sociais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Actividades de consultoria para os negócios e a gestão,363,133,1,0,7,1,6,0,4,2,38,15,251,84,56,31
"          Actividades de arquitectura, de engenharia e técnicas afins",3174,2048,16,11,78,48,53,21,43,22,435,254,1753,1074,796,618
          Actividades de ensaios e análises técnicas,851,554,0,0,13,7,5,1,4,0,77,43,542,339,210,164
          Investigação e desenvolvimento das ciências físicas e naturais,745,347,3,0,5,2,15,4,21,11,209,73,324,161,168,96
          Investigação e desenvolvimento das ciências sociais e humanas,4,3,0,0,0,0,0,0,0,0,3,3,1,0,0,0
          Publicidade,1205,696,2,2,43,13,24,8,21,10,93,45,763,433,259,185
          Estudos de mercado e sondagens de opinião,392,154,5,2,12,4,45,20,27,13,57,26,188,67,58,22
          Actividades de design,1021,746,3,3,16,13,10,4,8,5,99,62,626,449,259,210
          Actividades fotográficas,333,141,4,2,8,5,12,5,5,3,23,9,208,86,73,31
          Actividades de tradução e interpretação,38,7,0,0,0,0,2,0,1,0,6,1,22,5,7,1
"          Outras actividades de consultoria, científicas, técnicas e similares, n.e.",222,126,0,0,5,3,4,0,2,1,49,24,119,72,43,26
          Actividades veterinárias,420,103,1,0,13,4,12,1,14,2,97,28,180,41,103,27
          Aluguer de veículos automóveis,307,184,0,0,8,3,3,1,6,3,27,18,170,90,93,69
          Aluguer de bens de uso pessoal e doméstico,51,24,2,0,4,2,4,1,5,3,5,1,20,9,11,8
          Aluguer de outras máquinas e equipamentos,480,409,0,0,9,8,4,4,7,5,28,17,257,214,175,161
"          Locação de propriedade intelectual e produtos similares, excepto direitos de autor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Actividades das empresas de selecção e colocação de pessoal,564,198,1,0,15,5,40,19,31,9,68,21,309,103,100,41
          Actividades das empresas de trabalho temporário,73,51,0,0,1,0,3,2,1,1,12,5,34,24,22,19
          Outro fornecimento de recursos humanos,385,155,3,1,16,7,32,4,9,4,38,13,219,78,68,48
          Agências de viagem e operadores turísticos,1087,352,9,0,40,14,14,7,17,7,300,51,500,175,207,98
          Outros serviços de reservas e actividades relacionadas,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
          Actividades de  segurança privada,4495,4053,12,9,130,109,93,78,86,83,407,346,2493,2211,1274,1217
          Actividades  relacionadas com sistemas de segurança,64,51,0,0,2,1,0,0,0,0,6,3,38,30,18,17
          Actividades de investigação,5,2,0,0,0,0,0,0,1,0,2,0,1,1,1,1
          Actividades combinadas de apoio aos  edifícios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Actividades de limpeza,11717,1087,390,8,1262,48,2306,34,858,28,1425,141,4524,642,952,186
          Actividades de plantação e manutenção de jardins,1398,1053,8,5,55,46,28,20,33,25,220,162,875,645,179,150
          Actividades de serviços administrativos e  de apoio,190,47,2,0,11,3,6,0,5,1,53,12,98,29,15,2
          Actividades dos centros de chamadas,1260,392,16,6,28,8,172,69,185,42,83,33,708,199,68,35
"          Organização de feiras, congressos e outros eventos similares",486,209,9,2,32,8,16,5,21,6,95,34,215,101,98,53
"          Actividades de serviços de apoio prestados às empresas, n.e.",1144,380,11,4,56,18,27,8,38,7,344,88,508,169,160,86
"          Administração pública em geral, económica e social",36680,19021,193,88,1180,474,846,282,1483,715,22499,11358,7644,4423,2835,1681
"          Negócios estrangeiros, defesa, justiça, segurança, ordem pública e protecção civil",26128,21020,58,39,564,388,256,137,656,511,7619,5664,8117,6506,8858,7775
          Actividades de segurança social obrigatória,1986,404,9,2,71,15,32,3,62,8,1335,255,354,90,123,31
          Educação pré-escolar,9349,171,44,3,300,3,428,10,454,10,5318,76,2509,54,296,15
          Ensino básico (1º e 2º Ciclos),22628,3927,114,12,1157,228,2426,420,1730,331,11501,1941,3766,597,1934,398
          Ensinos básico (3º Ciclo) e secundário,33374,8397,95,17,820,201,2920,718,2317,661,17297,4346,5536,1319,4389,1135
          Ensinos pós-secundário não superior e superior,9582,4242,39,16,338,128,369,173,436,197,4094,1561,2130,953,2176,1214
          Outras actividades educativas,5270,1890,66,23,407,117,626,207,354,132,1540,469,1682,663,595,279
          Actividades de serviços de apoio à educação,14,3,0,0,1,0,0,0,1,0,9,2,3,1,0,0
          Actividades dos estabelecimentos de saúde com internamento,23876,5703,63,10,332,63,174,41,477,121,11616,2372,7995,1765,3219,1331
"          Actividades de prática clínica em ambulatório, de medicina dentária e de odontologia",13931,2700,67,10,300,33,361,46,359,60,5950,1012,4992,853,1902,686
          Outras actividades de saúde humana,3739,900,17,5,123,37,150,21,74,16,860,207,2008,390,507,224
"          Actividades dos estabelecimentos de cuidados continuados integrados,  com alojamento",442,46,1,0,8,0,15,4,7,1,107,14,263,21,41,6
"          Actividades dos estabelecimentos para pessoas com  doença do foro mental e do abuso de drogas, com alojamento",295,81,0,0,4,2,6,2,6,1,165,39,93,27,21,10
"          Actividades de apoio social para pessoas idosas e com deficiência,  com alojamento",20472,1431,58,7,520,45,312,35,385,33,8079,628,9703,550,1415,133
          Outras actividades de apoio  social com alojamento,472,64,1,0,20,2,6,0,10,3,237,33,163,16,35,10
"          Actividades de apoio social para pessoas idosas e com deficiência, sem alojamento",7560,355,33,1,222,10,175,24,136,16,2544,109,3949,159,501,36
          Outras actividades de apoio social sem alojamento,7887,622,25,1,226,14,148,16,163,18,3590,248,3315,255,420,70
"          Actividades de teatro, de música, de dança e outras actividades artísticas e literárias",684,459,18,12,55,32,52,35,28,16,88,49,316,221,127,94
"          Actividades das bibliotecas, arquivos, museus e outras actividades culturais",1053,302,2,1,30,7,24,3,54,9,568,147,309,110,66,25
          Lotarias e outros jogos de aposta,273,178,1,0,10,7,9,7,10,9,66,34,132,89,45,32
          Actividades desportivas,2281,1235,26,17,174,102,223,165,151,90,584,282,854,394,269,185
          Actividades de diversão e recreativas,219,108,3,1,8,3,9,2,5,4,46,23,89,37,59,38
"          Actividades de organizações económicas, patronais e profissionais",457,130,2,0,13,2,15,3,22,8,188,46,167,45,50,26
          Actividades de organizações sindicais,260,81,4,1,14,2,15,2,7,4,158,46,50,19,12,7
          Outras actividades de organizações associativas,2611,1265,19,9,104,54,153,69,109,61,662,195,876,343,688,534
          Reparação de computadores e de equipamento de comunicação,190,166,1,0,9,6,1,1,1,1,10,9,136,119,32,30
          Reparação de bens de uso pessoal e doméstico,579,429,4,1,21,15,17,6,8,5,41,32,412,307,76,63
          Outras actividades de serviços pessoais,4867,571,57,9,216,25,168,18,82,12,423,85,3108,281,813,141
          Actividades das famílias empregadoras de pessoal doméstico,8656,108,301,1,963,3,2167,6,667,4,926,22,2886,57,746,15
