"6.35 - POPULAÇÃO RESIDENTE EMPREGADA, SEGUNDO A SITUAÇÃO NA PROFISSÃO E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA E HORAS DE TRABALHO NA SEMANA DE REFERÊNCIA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica   ,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo de cooperativa de produção,,Outra situação,
 Ramos de actividade económica Horas de trabalho na semana de referência,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
          1 - 4 horas,38,34,1,1,2,2,0,0,31,27,0,0,4,4
          5 - 14 horas,228,194,15,15,9,9,0,0,203,170,0,0,1,0
          15 - 29 horas,58,38,3,3,4,4,1,1,48,28,0,0,2,2
          30 - 34 horas,77,68,9,9,9,8,0,0,59,51,0,0,0,0
          35 - 39 horas,1226,1038,29,20,7,7,0,0,1180,1001,0,0,10,10
          40 - 44 horas,5072,4072,182,161,36,35,2,2,4831,3858,3,0,18,16
          45 ou mais horas,1538,1390,156,145,44,43,2,2,1321,1185,2,2,13,13
        Fabrico de mobiliário e de colchões,35876,27586,4418,3843,2013,1906,99,68,29168,21636,35,26,143,107
          1 - 4 horas,150,119,37,30,35,33,0,0,73,52,1,0,4,4
          5 - 14 horas,1231,922,198,170,87,84,0,0,939,664,0,0,7,4
          15 - 29 horas,341,220,50,38,63,58,16,11,208,111,0,0,4,2
          30 - 34 horas,366,272,45,29,76,73,7,6,228,158,1,0,9,6
          35 - 39 horas,2242,1546,252,202,195,183,10,5,1765,1142,3,2,17,12
          40 - 44 horas,24744,18651,2085,1784,861,817,46,31,21663,15952,22,17,67,50
          45 ou mais horas,6802,5856,1751,1590,696,658,20,15,4292,3557,8,7,35,29
        Outras indústrias transformadoras,11537,6198,1288,949,851,621,26,15,9273,4550,9,8,90,55
          1 - 4 horas,113,69,14,8,40,26,0,0,54,32,0,0,5,3
          5 - 14 horas,484,250,56,39,43,25,0,0,373,178,2,1,10,7
          15 - 29 horas,243,121,24,19,64,43,7,3,142,54,0,0,6,2
          30 - 34 horas,216,108,35,21,60,42,0,0,113,42,1,1,7,2
          35 - 39 horas,1016,506,93,62,99,75,1,0,813,363,2,2,8,4
          40 - 44 horas,7433,3716,519,366,271,198,12,8,6597,3121,4,4,30,19
          45 ou mais horas,2032,1428,547,434,274,212,6,4,1181,760,0,0,24,18
"        Reparação, manutenção e instalação de máquinas e equipamentos",13515,12051,1527,1390,979,958,25,21,10909,9615,3,3,72,64
          1 - 4 horas,74,62,11,10,21,20,0,0,40,30,0,0,2,2
          5 - 14 horas,499,433,63,60,55,55,0,0,376,314,1,1,4,3
          15 - 29 horas,180,140,30,23,39,36,8,6,100,72,0,0,3,3
          30 - 34 horas,156,128,18,14,46,43,0,0,89,68,0,0,3,3
          35 - 39 horas,1021,757,84,65,73,72,2,2,857,614,0,0,5,4
          40 - 44 horas,8383,7511,631,563,369,360,9,9,7338,6546,2,2,34,31
          45 ou mais horas,3202,3020,690,655,376,372,6,4,2109,1971,0,0,21,18
"        Electricidade, gás, vapor,  água quente e fria e ar frio",27235,23424,1965,1778,1474,1443,37,34,23579,20013,11,11,169,145
          1 - 4 horas,174,150,18,13,38,37,0,0,109,91,0,0,9,9
          5 - 14 horas,895,750,110,97,78,77,0,0,697,567,0,0,10,9
          15 - 29 horas,313,220,40,37,68,67,12,11,183,100,1,1,9,4
          30 - 34 horas,445,346,28,21,95,94,0,0,308,217,1,1,13,13
          35 - 39 horas,5900,4838,215,181,155,149,3,3,5501,4483,1,1,25,21
          40 - 44 horas,13872,12075,837,761,623,612,6,5,12333,10631,7,7,66,59
          45 ou mais horas,5636,5045,717,668,417,407,16,15,4448,3924,1,1,37,30
"        Captação, tratamento  e distribuição de água",12786,9241,325,247,71,58,3,2,12289,8859,2,2,96,73
          1 - 4 horas,58,40,3,2,2,2,0,0,49,34,0,0,4,2
          5 - 14 horas,350,241,13,9,7,5,0,0,324,223,0,0,6,4
          15 - 29 horas,100,66,13,8,3,3,3,2,79,51,0,0,2,2
          30 - 34 horas,324,241,11,10,10,9,0,0,293,213,1,1,9,8
          35 - 39 horas,5185,3598,69,45,7,5,0,0,5079,3527,0,0,30,21
          40 - 44 horas,5318,3938,112,84,15,12,0,0,5163,3820,1,1,27,21
          45 ou mais horas,1451,1117,104,89,27,22,0,0,1302,991,0,0,18,15
"        Recolha, drenagem  e tratamento de águas residuais",2339,1821,68,53,28,28,0,0,2232,1733,0,0,11,7
          1 - 4 horas,9,7,1,1,2,2,0,0,5,4,0,0,1,0
          5 - 14 horas,70,57,6,4,3,3,0,0,61,50,0,0,0,0
          15 - 29 horas,19,12,1,1,2,2,0,0,16,9,0,0,0,0
          30 - 34 horas,45,37,0,0,3,3,0,0,42,34,0,0,0,0
          35 - 39 horas,445,329,4,3,5,5,0,0,434,319,0,0,2,2
          40 - 44 horas,1373,1091,23,16,7,7,0,0,1339,1066,0,0,4,2
          45 ou mais horas,378,288,33,28,6,6,0,0,335,251,0,0,4,3
