"3.11- ALOJAMENTOS CLÁSSICOS OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO O NÚMERO DE DIVISÕES, FAMÍLIAS CLÁSSICAS E PESSOAS RESIDENTES,  POR NÚMERO DE PESSOAS E FAMÍLIAS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,"Alojamentos clássicos, segundo o número de divisões",,,,,,,,,,,Total de divisões,Famílias clássicas,Pessoas residentes
Número de pessoas e número de famílias nos alojamentos,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9,Com 10 ou mais,,,
            Com 3 pessoas,67552,92,525,3387,18114,24550,10839,5074,2423,1255,1293,352059,67552,202656
            Com 4 pessoas,43851,58,224,1295,8394,16568,8395,4473,2167,1149,1128,242666,43851,175404
            Com 5 pessoas,10581,23,63,340,1790,3600,2128,1200,655,391,391,60700,10581,52905
            Com 6 pessoas,2762,16,31,98,441,857,552,341,185,126,115,16013,2762,16572
            Com 7 pessoas,680,4,16,28,113,204,123,83,53,22,34,3938,680,4760
            Com 8 pessoas,230,1,7,7,31,73,54,26,10,5,16,1329,230,1840
            Com 9 ou mais pessoas,129,1,3,7,16,39,23,19,3,9,9,782,129,1276
          Alojamentos com 2 famílias,1960,9,21,127,519,638,292,173,76,51,54,10339,3915,8031
            Com 1 pessoa,4,0,0,1,0,2,1,0,0,0,0,19,4,4
            Com 2 pessoas,443,6,12,55,161,122,48,18,6,5,10,2075,885,886
            Com 3 pessoas,360,0,4,28,106,116,51,30,9,6,10,1850,720,1080
            Com 4 pessoas,366,0,3,19,96,138,47,33,12,7,11,1935,732,1464
            Com 5 pessoas,393,1,1,8,77,137,77,42,27,11,12,2218,786,1965
            Com 6 pessoas,228,1,0,7,45,71,45,26,14,14,5,1305,456,1368
            Com 7 pessoas,101,0,1,3,16,32,15,16,5,7,6,609,202,707
            Com 8 pessoas,40,0,0,3,12,12,5,5,2,1,0,207,80,320
            Com 9 ou mais pessoas,25,1,0,3,6,8,3,3,1,0,0,121,50,237
          Alojamentos com 3 ou mais famílias,347,39,3,15,77,103,46,30,12,7,15,1721,1415,1964
            Com 1 pessoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Com 2 pessoas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Com 3 pessoas,73,0,1,4,30,28,3,3,0,1,3,354,219,219
            Com 4 pessoas,55,1,0,1,13,22,8,5,3,1,1,292,198,220
            Com 5 pessoas,40,0,0,1,9,14,6,5,2,1,2,225,151,200
            Com 6 pessoas,68,21,0,5,7,17,8,6,2,0,2,277,310,408
            Com 7 pessoas,51,15,0,1,5,12,11,2,1,2,2,225,249,357
            Com 8 pessoas,31,2,0,0,8,6,4,6,2,2,1,175,124,248
            Com 9 ou mais pessoas,29,0,2,3,5,4,6,3,2,0,4,173,164,312
      Algarve,,,,,,,,,,,,,,
         Alojamentos,178574,1377,4407,22054,61108,54183,19846,8390,3722,1880,1607,833783,181837,444338
            Com 1 pessoa,41883,835,2195,8576,15400,9707,3047,1165,507,240,211,176052,41883,41883
            Com 2 pessoas,59774,322,1357,7550,21533,17895,6304,2689,1108,565,451,276839,60395,119548
            Com 3 pessoas,40200,115,539,3729,14401,13105,4753,1901,853,440,364,192091,40856,120600
            Com 4 pessoas,26456,58,219,1656,7417,9834,4018,1732,799,388,335,134076,27132,105824
            Com 5 pessoas,6906,24,65,398,1672,2485,1128,573,282,132,147,36297,7434,34530
            Com 6 pessoas,2302,20,26,102,492,821,390,224,104,63,60,12418,2626,13812
            Com 7 pessoas,632,1,5,27,130,204,113,60,43,26,23,3554,841,4424
            Com 8 pessoas,243,0,0,12,32,79,52,33,16,14,5,1407,368,1944
            Com 9 ou mais pessoas,178,2,1,4,31,53,41,13,10,12,11,1049,302,1773
          Alojamentos com 1 família,176018,1359,4351,21746,60209,53429,19584,8264,3662,1841,1573,821709,176018,433918
            Com 1 pessoa,41881,834,2195,8576,15399,9707,3047,1165,507,240,211,176047,41881,41881
            Com 2 pessoas,59152,315,1334,7435,21276,17752,6260,2672,1099,559,450,274179,59152,118304
            Com 3 pessoas,39677,112,525,3650,14205,12954,4702,1887,847,439,356,189734,39677,119031
            Com 4 pessoas,25955,55,215,1603,7223,9681,3970,1707,788,382,331,131720,25955,103820
            Com 5 pessoas,6505,23,62,361,1555,2340,1080,549,270,124,141,34296,6505,32525
            Com 6 pessoas,2068,17,18,89,419,748,357,207,97,61,55,11258,2068,12408
            Com 7 pessoas,495,1,2,23,92,159,102,46,34,17,19,2798,495,3465
            Com 8 pessoas,170,0,0,6,22,51,41,24,13,10,3,999,170,1360
            Com 9 ou mais pessoas,115,2,0,3,18,37,25,7,7,9,7,678,115,1124
          Alojamentos com 2 famílias,2070,18,46,253,764,587,200,105,46,31,20,9663,4136,7960
