"3.20 - ALOJAMENTOS CLÁSSICOS PROPRIEDADE DOS OCUPANTES, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO A ÁREA ÚTIL DO ALOJAMENTO, POR GRUPO SÓCIO-ECONÓMICO DO TITULAR DO ALOJAMENTO, EXISTÊNCIA DE ENCARGOS POR COMPRA E RESPECTIVOS ESCALÕES",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,"Alojamentos clássicos, segundo a área útil do alojamento",,,,,,,,,,Famílias clássicas,Pessoas residentes,
Grupo sócio-económico do titular do alojamento e escalão de encargos,,Menos de 30m2,De 30 a menos de 40m2,De 40 a menos de 50 m2,De 50 a menos de 60 m2,De 60 a menos de 80 m2,De 80 a menos de 100 m2,De 100 a menos de 120 m2,De 120 a menos de 150 m2,De 150 a menos de 200 m2,200 m2 ou mais,,,
"            200 - 249,99 euros",90,1,0,1,2,12,12,20,23,8,11,90,236,
"            250 - 299,99 euros",137,0,0,2,3,13,16,29,31,23,20,137,364,
"            300 - 349,99 euros",136,0,1,3,5,3,23,32,21,24,24,136,360,
"            350 - 399,99 euros",194,1,0,1,3,8,24,47,52,31,27,196,518,
"            400 - 499,99 euros",286,0,2,1,1,10,23,49,67,62,71,287,882,
"            500 - 649,99 euros",317,0,0,2,1,1,18,38,62,84,111,317,993,
"            650 - 799,99 euros",203,0,0,0,0,2,8,8,35,49,101,203,659,
            800 euros ou mais,263,1,0,0,0,1,4,12,31,51,163,265,908,
          Pequenos patrões com profissões técnicas intermédias,3189,4,7,17,39,114,279,513,690,680,846,3199,9821,
            Sem encargos,1129,3,2,2,23,45,82,184,255,231,302,1133,3405,
            Com encargos,2060,1,5,15,16,69,197,329,435,449,544,2066,6416,
            Menos de 75 euros,30,0,0,0,0,1,5,9,8,2,5,30,94,
"            75  - 99,99 euros",33,0,1,0,0,3,5,6,12,2,4,33,94,
"            100 - 149,99 euros",65,0,0,0,2,2,6,14,19,11,11,65,192,
            150 - 199.99 euros,88,0,0,3,1,8,11,23,15,17,10,89,261,
"            200 - 249,99 euros",149,0,1,2,5,10,22,23,39,29,18,151,429,
"            250 - 299,99 euros",194,0,2,5,1,7,36,41,43,33,26,194,558,
"            300 - 349,99 euros",203,0,1,2,1,9,29,39,47,41,34,203,620,
"            350 - 399,99 euros",221,0,0,1,0,9,29,46,44,45,47,221,680,
"            400 - 499,99 euros",379,0,0,2,3,15,28,64,97,75,95,380,1170,
"            500 - 649,99 euros",349,0,0,0,1,3,19,43,70,96,117,351,1155,
"            650 - 799,99 euros",171,0,0,0,1,1,5,11,24,49,80,171,568,
            800 euros ou mais,178,1,0,0,1,1,2,10,17,49,97,178,595,
          Pequenos patrões da indústria,19823,35,44,246,315,933,2190,3351,4428,4167,4114,19981,66503,
            Sem encargos,11450,26,29,161,205,589,1356,2109,2665,2249,2061,11579,37860,
            Com encargos,8373,9,15,85,110,344,834,1242,1763,1918,2053,8402,28643,
            Menos de 75 euros,162,0,1,2,4,9,21,28,45,28,24,162,511,
"            75  - 99,99 euros",138,0,1,3,6,5,19,26,43,16,19,138,485,
"            100 - 149,99 euros",389,2,1,12,5,21,48,61,100,68,71,390,1352,
            150 - 199.99 euros,512,1,3,10,16,42,72,86,102,106,74,513,1706,
"            200 - 249,99 euros",667,2,0,6,11,59,83,121,149,131,105,667,2252,
"            250 - 299,99 euros",879,0,5,12,18,56,105,154,199,202,128,880,3024,
"            300 - 349,99 euros",873,1,2,11,10,38,112,155,185,198,161,875,2960,
"            350 - 399,99 euros",829,2,1,7,10,28,86,157,171,190,177,830,2790,
"            400 - 499,99 euros",1608,1,0,13,13,45,153,221,335,405,422,1619,5556,
"            500 - 649,99 euros",1144,0,0,5,9,20,74,124,221,306,385,1147,3940,
"            650 - 799,99 euros",597,0,0,2,5,14,36,57,129,140,214,603,2070,
            800 euros ou mais,575,0,1,2,3,7,25,52,84,128,273,578,1997,
          Pequenos patrões do comércio e serviços,14004,36,53,180,226,704,1643,2358,3019,2848,2937,14107,43973,
            Sem encargos,7884,23,35,123,137,410,920,1347,1774,1574,1541,7951,24100,
            Com encargos,6120,13,18,57,89,294,723,1011,1245,1274,1396,6156,19873,
            Menos de 75 euros,101,0,1,2,5,11,15,18,21,14,14,101,290,
"            75  - 99,99 euros",117,2,0,0,0,9,19,20,37,19,11,117,353,
"            100 - 149,99 euros",247,1,1,1,6,15,48,54,61,31,29,248,784,
            150 - 199.99 euros,295,0,4,3,11,21,46,52,55,58,45,297,918,
"            200 - 249,99 euros",459,2,2,9,13,32,66,93,108,71,63,459,1439,
"            250 - 299,99 euros",602,1,1,9,7,46,118,125,123,89,83,606,1884,
"            300 - 349,99 euros",632,2,4,8,8,35,109,116,134,116,100,634,1962,
"            350 - 399,99 euros",597,0,1,4,4,27,69,117,129,126,120,599,1933,
"            400 - 499,99 euros",1145,3,2,13,19,42,124,181,256,252,253,1148,3755,
"            500 - 649,99 euros",919,1,1,4,11,27,58,137,183,244,253,929,3147,
"            650 - 799,99 euros",485,1,0,3,4,17,29,53,65,127,186,493,1632,
            800 euros ou mais,521,0,1,1,1,12,22,45,73,127,239,525,1776,
          Pequenos patrões do sector primário,3327,8,28,68,115,259,452,612,663,565,557,3361,10907,
            Sem encargos,2710,7,24,57,96,227,395,517,540,435,412,2739,8729,
            Com encargos,617,1,4,11,19,32,57,95,123,130,145,622,2178,
            Menos de 75 euros,17,0,0,1,1,1,1,5,5,1,2,17,53,
"            75  - 99,99 euros",14,0,0,1,1,3,2,3,3,1,0,14,45,
"            100 - 149,99 euros",20,0,0,2,1,3,4,4,4,0,2,20,62,
            150 - 199.99 euros,44,1,1,2,5,3,4,7,8,7,6,45,160,
"            200 - 249,99 euros",62,0,2,3,3,1,8,11,13,12,9,62,221,
"            250 - 299,99 euros",62,0,0,0,0,2,5,14,12,15,14,62,218,
"            300 - 349,99 euros",60,0,1,0,2,4,5,9,15,16,8,61,220,
"            350 - 399,99 euros",67,0,0,0,1,6,8,8,11,19,14,67,235,
"            400 - 499,99 euros",115,0,0,2,5,7,11,19,16,28,27,115,401,
"            500 - 649,99 euros",68,0,0,0,0,1,3,7,16,17,24,68,245,
"            650 - 799,99 euros",46,0,0,0,0,0,4,2,11,6,23,47,162,
            800 euros ou mais,42,0,0,0,0,1,2,6,9,8,16,44,156,
          Profissionais intelectuais e científicos independentes,2412,4,13,29,47,126,262,387,502,455,587,2418,6695,
            Sem encargos,983,3,10,16,14,58,102,145,209,181,245,985,2638,
            Com encargos,1429,1,3,13,33,68,160,242,293,274,342,1433,4057,
            Menos de 75 euros,25,0,0,0,2,1,5,5,3,3,6,25,59,
"            75  - 99,99 euros",20,0,0,0,0,0,3,4,4,4,5,20,50,
"            100 - 149,99 euros",42,0,1,1,3,6,5,10,7,6,3,42,99,
            150 - 199.99 euros,72,0,0,2,2,4,9,15,24,9,7,72,183,
"            200 - 249,99 euros",109,0,1,3,8,7,16,33,25,11,5,109,258,
"            250 - 299,99 euros",131,0,1,1,6,13,22,29,25,18,16,131,346,
"            300 - 349,99 euros",135,0,0,1,2,13,22,25,37,22,13,135,368,
"            350 - 399,99 euros",151,0,0,3,4,6,23,30,34,25,26,153,406,
"            400 - 499,99 euros",262,0,0,0,3,8,33,46,66,55,51,263,729,
"            500 - 649,99 euros",227,1,0,2,0,5,15,30,40,52,82,228,690,
"            650 - 799,99 euros",117,0,0,0,1,4,4,10,17,32,49,117,368,
            800 euros ou mais,138,0,0,0,2,1,3,5,11,37,79,138,501,
          Profissionais técnicos intermédios independentes,2951,4,9,28,46,133,351,509,638,618,615,2967,8865,
            Sem encargos,1267,1,2,15,25,68,157,224,272,271,232,1279,3627,
            Com encargos,1684,3,7,13,21,65,194,285,366,347,383,1688,5238,
            Menos de 75 euros,30,0,1,0,0,2,4,8,9,2,4,30,86,
"            75  - 99,99 euros",27,0,0,1,0,3,5,4,4,5,5,27,80,
"            100 - 149,99 euros",66,1,0,1,1,8,8,12,19,9,7,66,185,
            150 - 199.99 euros,103,0,1,0,5,5,18,27,18,14,15,103,289,
"            200 - 249,99 euros",139,0,0,2,2,7,26,36,28,17,21,139,391,
"            250 - 299,99 euros",160,1,2,3,3,9,23,31,41,24,23,161,471,
"            300 - 349,99 euros",189,1,1,0,1,9,25,42,44,33,33,189,547,
"            350 - 399,99 euros",179,0,1,2,1,9,25,31,36,41,33,179,565,
"            400 - 499,99 euros",298,0,1,1,5,11,30,48,73,68,61,300,945,
"            500 - 649,99 euros",264,0,0,2,3,1,21,30,58,75,74,264,897,
"            650 - 799,99 euros",106,0,0,1,0,1,8,9,24,28,35,107,358,
            800 euros ou mais,123,0,0,0,0,0,1,7,12,31,72,123,424,
          Trabalhadores industriais e artesanais independentes,14853,50,97,260,418,1138,2091,2964,3390,2602,1843,14959,47988,
            Sem encargos,9711,41,80,208,309,802,1415,2027,2266,1531,1032,9800,30549,
            Com encargos,5142,9,17,52,109,336,676,937,1124,1071,811,5159,17439,
            Menos de 75 euros,132,0,2,5,5,9,24,23,37,16,11,133,416,
"            75  - 99,99 euros",99,0,0,4,5,14,11,26,22,12,5,99,338,
"            100 - 149,99 euros",366,4,3,6,13,38,46,78,88,58,32,366,1262,
            150 - 199.99 euros,425,1,1,6,13,30,80,81,92,75,46,427,1429,
"            200 - 249,99 euros",493,1,0,6,13,42,84,81,106,102,58,494,1698,
"            250 - 299,99 euros",652,0,2,9,11,51,89,140,124,146,80,655,2196,
"            300 - 349,99 euros",601,0,3,3,8,41,85,115,136,127,83,605,2026,
"            350 - 399,99 euros",571,0,0,3,10,34,63,107,112,125,117,571,1946,
"            400 - 499,99 euros",914,3,6,6,17,44,110,169,202,209,148,918,3069,
"            500 - 649,99 euros",517,0,0,2,9,13,49,69,120,123,132,518,1798,
"            650 - 799,99 euros",219,0,0,1,3,12,17,30,54,48,54,219,749,
            800 euros ou mais,153,0,0,1,2,8,18,18,31,30,45,154,512,
          Prestadores de serviços e comerciantes independentes,11313,53,95,272,345,922,1765,2173,2175,1868,1645,11405,32011,
            Sem encargos,6907,35,63,203,237,614,1113,1320,1335,1086,901,6972,18674,
            Com encargos,4406,18,32,69,108,308,652,853,840,782,744,4433,13337,
            Menos de 75 euros,105,3,4,1,9,17,19,13,20,12,7,105,270,
"            75  - 99,99 euros",87,0,0,1,2,7,18,20,18,12,9,87,246,
"            100 - 149,99 euros",211,3,3,2,8,28,41,44,40,26,16,212,619,
            150 - 199.99 euros,299,1,4,8,9,41,62,58,47,44,25,302,868,
"            200 - 249,99 euros",374,2,2,6,17,31,78,96,53,49,40,375,1055,
"            250 - 299,99 euros",486,2,6,10,14,43,86,91,104,76,54,487,1404,
"            300 - 349,99 euros",516,1,5,6,12,36,86,117,110,84,59,517,1567,
"            350 - 399,99 euros",455,1,0,11,6,29,69,103,106,72,58,460,1408,
"            400 - 499,99 euros",845,1,3,12,13,44,111,150,183,174,154,850,2633,
"            500 - 649,99 euros",523,1,2,5,11,17,42,95,89,118,143,526,1653,
"            650 - 799,99 euros",264,0,2,6,5,9,21,31,41,66,83,266,848,
            800 euros ou mais,241,3,1,1,2,6,19,35,29,49,96,246,766,
          Trabalhadores independentes do sector primário,6185,66,66,220,274,636,1065,1176,1185,843,654,6253,18361,
            Sem encargos,5304,59,62,205,255,585,960,1035,977,668,498,5365,15327,
            Com encargos,881,7,4,15,19,51,105,141,208,175,156,888,3034,
            Menos de 75 euros,40,1,1,1,1,3,7,9,10,3,4,41,120,
"            75  - 99,99 euros",19,0,0,1,3,2,3,5,3,1,1,19,62,
"            100 - 149,99 euros",52,2,0,2,3,4,9,3,14,10,5,54,185,
            150 - 199.99 euros,65,1,0,2,1,10,7,9,17,11,7,65,228,
"            200 - 249,99 euros",78,0,0,2,0,6,12,21,21,13,3,79,268,
"            250 - 299,99 euros",106,0,1,1,0,2,14,18,24,23,23,106,372,
"            300 - 349,99 euros",91,0,2,0,0,7,7,12,27,19,17,91,323,
"            350 - 399,99 euros",87,1,0,1,0,3,11,16,16,21,18,87,306,
"            400 - 499,99 euros",142,1,0,1,6,7,17,19,38,27,26,144,477,
"            500 - 649,99 euros",100,0,0,2,2,5,8,16,24,24,19,100,354,
"            650 - 799,99 euros",55,1,0,2,1,1,6,10,9,12,13,56,175,
            800 euros ou mais,46,0,0,0,2,1,4,3,5,11,20,46,164,
          Directores e quadros dirigentes do Estado e empresas,8924,4,21,50,74,289,795,1316,1834,1838,2703,8942,27445,
            Sem encargos,2269,1,4,15,16,85,185,362,460,466,675,2281,6851,
            Com encargos,6655,3,17,35,58,204,610,954,1374,1372,2028,6661,20594,
            Menos de 75 euros,67,0,0,2,1,4,7,9,9,14,21,67,206,
"            75  - 99,99 euros",75,0,0,2,3,3,10,15,14,10,18,75,220,
"            100 - 149,99 euros",188,0,4,3,1,9,18,36,41,32,44,188,544,
            150 - 199.99 euros,295,0,2,1,3,12,53,44,65,64,51,295,867,
"            200 - 249,99 euros",387,0,0,3,7,45,64,71,77,63,57,387,1077,
"            250 - 299,99 euros",647,0,2,8,13,44,113,124,139,93,111,647,1813,
"            300 - 349,99 euros",627,1,0,3,7,28,78,131,149,115,115,627,1826,
"            350 - 399,99 euros",753,1,7,5,6,32,107,152,165,123,155,755,2185,
"            400 - 499,99 euros",1207,1,1,6,9,17,83,193,300,283,314,1208,3723,
"            500 - 649,99 euros",1147,0,0,1,5,7,40,111,251,292,440,1149,3744,
"            650 - 799,99 euros",623,0,1,1,3,2,23,44,98,153,298,624,2123,
            800 euros ou mais,639,0,0,0,0,1,14,24,66,130,404,639,2266,
          Dirigentes de pequenas empresas e organizações,1964,1,9,14,29,103,189,343,404,380,492,1987,6040,
            Sem encargos,712,0,2,8,7,46,65,129,140,150,165,731,2198,
            Com encargos,1252,1,7,6,22,57,124,214,264,230,327,1256,3842,
            Menos de 75 euros,12,0,0,0,0,2,5,0,1,1,3,12,37,
"            75  - 99,99 euros",17,0,1,0,0,3,1,1,2,3,6,17,48,
"            100 - 149,99 euros",39,0,0,0,0,3,6,11,8,3,8,41,121,
            150 - 199.99 euros,47,0,1,1,0,1,11,7,15,4,7,47,142,
"            200 - 249,99 euros",90,1,2,1,3,8,15,16,21,11,12,90,244,
"            250 - 299,99 euros",119,0,0,3,2,9,22,33,19,14,17,119,344,
"            300 - 349,99 euros",146,0,1,0,5,9,20,37,37,18,19,146,394,
"            350 - 399,99 euros",130,0,0,0,5,7,10,19,36,25,28,130,407,
"            400 - 499,99 euros",249,0,0,1,5,10,16,42,62,56,57,251,782,
"            500 - 649,99 euros",196,0,1,0,1,4,12,29,39,46,64,196,628,
"            650 - 799,99 euros",120,0,0,0,1,0,2,10,17,36,54,120,412,
            800 euros ou mais,87,0,1,0,0,1,4,9,7,13,52,87,283,
          Quadros intelectuais e científicos,38919,48,104,353,606,2051,4676,6696,8206,7213,8966,39056,106546,
            Sem encargos,10814,14,21,101,183,626,1237,1851,2238,1969,2574,10877,29429,
            Com encargos,28105,34,83,252,423,1425,3439,4845,5968,5244,6392,28179,77117,
            Menos de 75 euros,449,0,4,6,6,45,65,70,107,75,71,449,1175,
"            75  - 99,99 euros",395,0,1,9,7,33,63,78,84,59,61,396,1083,
"            100 - 149,99 euros",1001,5,3,17,31,63,143,198,205,172,164,1002,2600,
            150 - 199.99 euros,1432,3,10,30,33,123,219,263,295,242,214,1436,3664,
"            200 - 249,99 euros",1965,3,14,40,63,188,397,395,405,261,199,1969,4775,
"            250 - 299,99 euros",2949,5,16,37,69,253,538,662,646,379,344,2958,7198,
"            300 - 349,99 euros",3130,7,12,33,67,223,515,703,743,419,408,3140,7805,
"            350 - 399,99 euros",3368,2,7,26,48,163,468,698,865,614,477,3374,8690,
"            400 - 499,99 euros",5080,4,8,27,49,204,570,899,1178,1061,1080,5092,14004,
"            500 - 649,99 euros",4266,4,5,16,34,87,295,563,874,1007,1381,4272,12850,
"            650 - 799,99 euros",2045,0,3,6,9,31,101,186,333,529,847,2054,6569,
            800 euros ou mais,2025,1,0,5,7,12,65,130,233,426,1146,2037,6704,
          Quadros técnicos intermédios,30668,45,102,332,499,1645,4059,5622,6693,5829,5842,30809,92108,
            Sem encargos,8372,23,43,128,177,542,1126,1573,1870,1551,1339,8461,25398,
            Com encargos,22296,22,59,204,322,1103,2933,4049,4823,4278,4503,22348,66710,
            Menos de 75 euros,340,0,2,6,12,29,58,85,68,43,37,340,946,
"            75  - 99,99 euros",344,0,2,3,11,32,64,79,72,43,38,345,979,
"            100 - 149,99 euros",833,1,5,16,24,36,142,173,200,126,110,834,2522,
            150 - 199.99 euros,1362,9,6,20,43,128,256,266,268,204,162,1367,3918,
"            200 - 249,99 euros",1929,5,15,35,47,177,369,423,394,249,215,1935,5337,
"            250 - 299,99 euros",2862,3,7,57,51,224,554,626,601,428,311,2870,8040,
"            300 - 349,99 euros",2646,2,5,13,31,134,477,587,663,414,320,2653,7536,
"            350 - 399,99 euros",2705,2,5,16,34,90,332,556,665,552,453,2707,8038,
"            400 - 499,99 euros",3944,0,7,27,46,155,406,700,908,860,835,3957,11943,
"            500 - 649,99 euros",3026,0,2,4,15,65,179,368,622,773,998,3030,9683,
"            650 - 799,99 euros",1277,0,3,5,7,14,60,114,222,358,494,1278,4237,
            800 euros ou mais,1028,0,0,2,1,19,36,72,140,228,530,1032,3531,
          Quadros administrativos intermédios,4509,17,30,71,115,316,696,811,942,792,719,4532,13232,
            Sem encargos,1372,4,8,31,38,105,196,257,285,236,212,1385,3982,
            Com encargos,3137,13,22,40,77,211,500,554,657,556,507,3147,9250,
            Menos de 75 euros,48,0,0,1,4,7,2,12,10,9,3,48,134,
"            75  - 99,99 euros",54,2,0,1,3,6,7,11,13,4,7,54,156,
"            100 - 149,99 euros",153,3,2,3,3,13,27,22,38,28,14,153,442,
            150 - 199.99 euros,238,0,2,7,12,28,43,46,46,24,30,240,683,
"            200 - 249,99 euros",327,1,7,6,12,36,59,66,62,42,36,329,912,
"            250 - 299,99 euros",403,0,3,8,14,27,94,76,79,59,43,403,1148,
"            300 - 349,99 euros",384,1,5,3,11,21,70,73,90,67,43,385,1107,
"            350 - 399,99 euros",413,0,2,3,5,24,82,77,86,82,52,414,1220,
"            400 - 499,99 euros",539,3,0,5,9,32,78,106,115,99,92,543,1601,
"            500 - 649,99 euros",345,3,1,2,3,11,25,43,80,89,88,345,1096,
"            650 - 799,99 euros",151,0,0,1,1,5,6,14,28,34,62,151,471,
            800 euros ou mais,82,0,0,0,0,1,7,8,10,19,37,82,280,
          Empregados administrativos do comércio e serviços,62473,301,544,1382,2074,5489,10420,12267,12532,9607,7857,62897,180136,
            Sem encargos,21777,137,247,655,935,2190,3596,4324,4322,2998,2373,22018,61165,
            Com encargos,40696,164,297,727,1139,3299,6824,7943,8210,6609,5484,40879,118971,
            Menos de 75 euros,724,8,10,20,41,71,157,152,128,75,62,727,2021,
"            75  - 99,99 euros",796,9,16,34,27,103,173,157,135,95,47,800,2178,
"            100 - 149,99 euros",2139,22,29,60,109,251,425,419,412,255,157,2145,5979,
            150 - 199.99 euros,3235,20,51,107,164,446,662,634,529,376,246,3247,8792,
"            200 - 249,99 euros",4546,29,53,128,204,521,973,997,808,494,339,4560,12378,
"            250 - 299,99 euros",6004,30,45,105,168,608,1250,1373,1151,783,491,6022,16941,
"            300 - 349,99 euros",5198,10,24,79,121,388,993,1135,1118,768,562,5213,14989,
"            350 - 399,99 euros",4706,13,22,42,88,278,691,1029,1065,861,617,4722,14096,
"            400 - 499,99 euros",6923,10,32,91,130,412,973,1200,1595,1349,1131,6967,20992,
"            500 - 649,99 euros",3822,6,9,31,45,119,320,559,795,922,1016,3844,12230,
"            650 - 799,99 euros",1592,5,5,20,22,60,125,175,314,400,466,1608,5182,
            800 euros ou mais,1011,2,1,10,20,42,82,113,160,231,350,1024,3193,
          Operários qualificados e semi-qualificados,100818,604,928,2692,3564,8864,16784,20108,20382,15981,10911,101693,326213,
            Sem encargos,48195,391,552,1606,2045,4777,8180,9963,9918,6630,4133,48783,154130,
            Com encargos,52623,213,376,1086,1519,4087,8604,10145,10464,9351,6778,52910,172083,
            Menos de 75 euros,1090,20,14,47,56,141,222,236,176,116,62,1098,3381,
"            75  - 99,99 euros",1118,6,10,49,62,133,192,243,194,158,71,1127,3569,
"            100 - 149,99 euros",3044,27,40,113,129,338,547,576,599,429,246,3058,9956,
            150 - 199.99 euros,4490,30,56,137,203,508,840,868,806,653,389,4511,14645,
"            200 - 249,99 euros",6021,31,57,164,237,614,1225,1209,1113,814,557,6043,19423,
"            250 - 299,99 euros",7732,24,53,165,220,696,1475,1555,1544,1266,734,7766,25084,
"            300 - 349,99 euros",7002,22,50,109,183,477,1173,1413,1446,1309,820,7040,22835,
"            350 - 399,99 euros",6048,10,21,97,117,351,951,1219,1275,1154,853,6083,19770,
"            400 - 499,99 euros",9316,29,52,134,196,582,1278,1745,1956,1907,1437,9386,30794,
"            500 - 649,99 euros",4207,8,12,35,59,121,390,711,851,1005,1015,4218,14064,
"            650 - 799,99 euros",1564,2,7,25,33,71,193,223,330,347,333,1576,5226,
            800 euros ou mais,991,4,4,11,24,55,118,147,174,193,261,1004,3336,
