"6.47 - POPULAÇÃO RESIDENTE, DESEMPREGADAEM SENTIDO RESTRITO E À PROCURA DE NOVO EMPREGO, SEGUNDO A SITUAÇÃO NA ÚLTIMA PROFISSÃO E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo de cooperativa de produção,,Outra situação,
Ramos de actividade económica,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
      Actividades de  televisão,312,180,46,32,23,13,1,1,214,116,0,0,28,18
      Actividades de telecomunicações por fio,4794,2610,223,156,161,106,5,1,4218,2250,1,1,186,96
      Actividades de telecomunicações sem fio,52,27,1,0,0,0,0,0,45,23,0,0,6,4
      Actividades de telecomunicações por satélite,1,1,0,0,0,0,0,0,1,1,0,0,0,0
      Outras actividades de telecomunicações,82,40,7,4,4,3,0,0,69,33,0,0,2,0
      Consultoria e programação informática e actividades relacionadas,2616,1909,183,141,323,277,1,0,1946,1367,0,0,163,124
"      Actividades de processamento de dados, domiciliação de informação  e actividades relacionadas; portais Web",59,26,2,1,10,8,0,0,44,16,0,0,3,1
      Outras actividades dos serviços de informação,80,30,9,3,2,1,0,0,62,24,0,0,7,2
      Intermediação monetária,2586,1087,94,47,101,40,2,0,2246,941,0,0,143,59
      Actividades das sociedades gestoras de participações sociais,49,27,3,1,3,2,0,0,42,23,0,0,1,1
"      Trusts, fundos e  entidades financeiras similares",25,13,3,2,5,3,0,0,14,7,0,0,3,1
"      Outras actividades de serviços financeiros, excepto seguros e fundos de pensões",268,109,11,7,18,6,0,0,224,86,0,0,15,10
      Seguros,1380,572,76,40,134,58,1,1,1093,439,0,0,76,34
      Resseguros,4,0,0,0,0,0,0,0,4,0,0,0,0,0
      Fundos de pensões e regimes profissionais complementares,1,0,0,0,1,0,0,0,0,0,0,0,0,0
