"6.10 - POPULAÇÃO RESIDENTE, SEGUNDO AS MIGRAÇÕES (RELATIVAMENTE A 31/12/2005), POR MUNICIPIO DE RESIDÊNCIA HABITUAL EM 21/03/2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,População residente em 2011,,População que ainda não tinha nascido (em 31/12/2005),,População que mantém a mesma residência (relativamente a 31/12/2005),,População que mudou de residência (relativamente a 31/12/2005),,,,,,,,,,,,,,,,,,,,,
Municipios de residência habitual em 21/03/2011,,,,,,,Na mesma freguesia,,Noutra freguesia do mesmo municipio,,Noutro municipio,,No estrangeiro,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,,,,,,,,,,,,,,
            Viseu,99274,46915,4808,2455,71006,33395,7139,3357,9321,4393,4857,2223,2143,1092,,,,,,,,,,,,,,
            Vouzela,10564,5031,336,169,8748,4155,640,322,217,99,467,203,156,83,,,,,,,,,,,,,,
          Pinhal Interior Sul,40705,19321,1187,609,32760,15579,2921,1336,873,406,2244,1010,720,381,,,,,,,,,,,,,,
            Oleiros,5721,2721,110,60,4853,2326,265,127,85,28,281,121,127,59,,,,,,,,,,,,,,
            Proença-a-Nova,8314,3985,222,114,6895,3306,521,244,140,61,405,186,131,74,,,,,,,,,,,,,,
            Sertã,15880,7546,576,294,12593,5941,1284,610,470,238,657,303,300,160,,,,,,,,,,,,,,
            Vila de Rei,3452,1582,93,46,2524,1184,289,122,38,13,463,194,45,23,,,,,,,,,,,,,,
            Mação,7338,3487,186,95,5895,2822,562,233,140,66,438,206,117,65,,,,,,,,,,,,,,
          Serra da Estrela,43737,20609,1451,720,34336,16116,3584,1672,1779,871,1706,760,881,470,,,,,,,,,,,,,,
            Fornos de Algodres,4989,2353,155,73,3947,1854,415,198,125,59,242,109,105,60,,,,,,,,,,,,,,
            Gouveia,14046,6500,453,217,11013,5091,1044,455,641,318,527,228,368,191,,,,,,,,,,,,,,
            Seia,24702,11756,843,430,19376,9171,2125,1019,1013,494,937,423,408,219,,,,,,,,,,,,,,
          Beira Interior Norte,104417,49558,3473,1769,81655,38596,7944,3813,5087,2354,4201,1962,2057,1064,,,,,,,,,,,,,,
            Almeida,7242,3395,141,65,5861,2761,574,284,174,74,320,132,172,79,,,,,,,,,,,,,,
            Celorico da Beira,7693,3611,277,126,6014,2825,496,245,398,179,347,158,161,78,,,,,,,,,,,,,,
            Figueira de Castelo Rodrigo,6260,2996,209,105,4838,2312,531,259,217,95,312,143,153,82,,,,,,,,,,,,,,
            Guarda,42541,20319,1741,895,31943,15146,3538,1704,3083,1461,1751,866,485,247,,,,,,,,,,,,,,
            Manteigas,3430,1622,88,45,2788,1302,259,128,149,75,94,42,52,30,,,,,,,,,,,,,,
            Meda,5202,2460,147,69,4162,1963,422,195,132,60,216,102,123,71,,,,,,,,,,,,,,
            Pinhel,9627,4584,265,145,8032,3817,676,315,185,83,315,135,154,89,,,,,,,,,,,,,,
            Sabugal,12544,5885,275,135,10007,4696,883,414,408,182,508,231,463,227,,,,,,,,,,,,,,
            Trancoso,9878,4686,330,184,8010,3774,565,269,341,145,338,153,294,161,,,,,,,,,,,,,,
          Beira Interior Sul,75028,35686,2799,1408,56266,26677,8823,4162,2008,930,3914,1878,1218,631,,,,,,,,,,,,,,
            Castelo Branco,56109,26661,2342,1158,40896,19373,7432,3482,1663,793,2887,1387,889,468,,,,,,,,,,,,,,
            Idanha-a-Nova,9716,4621,268,147,7886,3728,755,360,182,75,472,237,153,74,,,,,,,,,,,,,,
            Penamacor,5682,2760,104,58,4750,2284,363,192,103,38,229,120,133,68,,,,,,,,,,,,,,
            Vila Velha de Ródão,3521,1644,85,45,2734,1292,273,128,60,24,326,134,43,21,,,,,,,,,,,,,,
          Cova da Beira,87869,42025,3309,1699,65533,31228,8562,4070,5500,2592,3496,1663,1469,773,,,,,,,,,,,,,,
            Belmonte,6859,3294,258,140,5236,2502,715,335,146,69,424,205,80,43,,,,,,,,,,,,,,
            Covilhã,51797,24725,2006,1032,38247,18203,4731,2235,4044,1910,1943,916,826,429,,,,,,,,,,,,,,
            Fundão,29213,14006,1045,527,22050,10523,3116,1500,1310,613,1129,542,563,301,,,,,,,,,,,,,,
          Oeste,362540,175117,17436,8873,260475,125844,32378,15655,18702,8736,26289,12422,7260,3587,,,,,,,,,,,,,,
            Alcobaça,56693,27457,2436,1230,44147,21464,4425,2094,2256,1062,2536,1169,893,438,,,,,,,,,,,,,,
            Bombarral,13193,6353,561,288,9603,4625,1331,643,407,189,994,465,297,143,,,,,,,,,,,,,,
            Caldas da Rainha,51729,24505,2342,1195,35581,16876,4704,2182,4093,1910,4013,1861,996,481,,,,,,,,,,,,,,
            Nazaré,15158,7237,685,316,11087,5303,2133,1032,241,114,742,338,270,134,,,,,,,,,,,,,,
